person_id,standard_name,aliases,birth_year,death_year,birth_death,role,reliability,source_ids
ZLH-031,葛琴,葛爱琴、爱琴,1907,1984,1907-1984,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-032,徐懋庸,徐茂荣、懋庸、茂荣,1911,1977,1911-1977,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-033,周文,第一修,1907,1952,1907-1952,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-034,彭康,彭坚,1901,1968,1901-1968,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-035,李辉英,李公白、辉英、公白,1911,1991,1911-1991,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-036,穆木天,穆敬熙、木天、敬熙,1900,1971,1900-1971,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-037,楼适夷,楼锡春、适夷、锡春,1905,2001,1905-2001,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-038,陈荒煤,陈光亮、荒煤、光亮,1913,1996,1913-1996,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-039,欧阳山,杨凤岐、凤岐,1908,2000,1908-2000,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-040,草明,郑晓光、晓光,1913,2002,1913-2002,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-041,骆宾基,张璞君、璞君,1917,1994,1917-1994,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-042,魏金枝,魏金志、金志,1900,1972,1900-1972,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-043,端木蕻良,曹京平、曹汉文、蕻良,1912,1996,1912-1996,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-044,蒋锡金,蒋锡珍、锡金、锡珍,1915,2003,1915-2003,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-045,周立波,周绍仪、立波,1908,1979,1908-1979,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-046,邵荃麟,邵全麟、荃麟、全麟,1906,1971,1906-1971,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-047,林淡秋,林秉钧、淡秋、秉钧,1906,1981,1906-1981,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-048,王任叔,巴人、任叔,1901,1972,1901-1972,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-049,舒群,许春元、春元,1913,1989,1913-1989,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-050,于黑丁,于黑庭、黑庭,1907,1988,1907-1988,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-051,邱东平,邱东萍、东萍,1910,1941,1910-1941,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-052,梅志,屠稚眉、稚眉,1914,2004,1914-2004,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-053,黄源,黄河清、河清,1905,2003,1905-2003,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-054,许幸之,许兴之、幸之、兴之,1904,1991,1904-1991,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-055,郑君里,郑君礼、君里、君礼,1911,1969,1911-1969,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-056,白杨,杨成芳、成芳,1920,1996,1920-1996,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-057,赵丹,赵凤翱、凤翱,1915,1980,1915-1980,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-058,郭沫若,郭开贞、独武、沫若、开贞,1892,1978,1892-1978,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-059,白薇,黄彰,1894,1987,1894-1987,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-060,鲁彦,王鲁彦、王衡,1901,1944,1901-1944,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-061,朱镜我,朱德源、金修,1901,1939,1901-1939,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-062,李一芒,李太白,1903,1990,1903-1990,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-063,任白戈,任全、任以鲁,1906,1986,1906-1986,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-064,杜埃,杜秉正,1914,2004,1914-2004,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-065,柯仲平,柯维翰,1902,1964,1902-1964,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-066,黄其奎,黄日葵,1911,1942,1911-1942,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-067,任钧,任君、任均,1909,2003,1909-2003,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-068,温梓川,温志、梓川,1911,1973,1911-1973,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-069,张庚,张三庚,1911,2003,1911-2003,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-070,塞克,陈凝秋,1906,1988,1906-1988,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-071,李霁野,霁野,1904,1997,1904-1997,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-072,丛深,,1920,1980,1920-1980,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-073,王余杞,,1907,1997,1907-1997,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-074,严文井,严文锦,1915,2005,1915-2005,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-075,黄肃秋,黄秋秋,1912,1989,1912-1989,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-076,马宁,马云,1909,2001,1909-2001,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-077,柳倩,柳自强,1911,2004,1911-2004,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-078,王一知,,1901,1991,1901-1991,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-079,谢和赓,,1912,2005,1912-2005,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-080,陈企霞,,1913,1988,1913-1988,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-081,陈白尘,陈炳泉,1908,1994,1908-1994,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-082,宋之的,,1914,1956,1914-1956,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-083,林焕平,,1911,2000,1911-2000,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-084,陆万美,,1908,1991,1908-1991,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-085,方殷,,1914,2005,1914-2005,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-086,葛一虹,,1913,2005,1913-2005,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-087,于伶,任郁伶,1907,1997,1907-1997,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-088,徐芳,,1912,2008,1912-2008,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-089,唐弢,,1913,1992,1913-1992,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-090,吴晓邦,,1906,1995,1906-1995,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-091,叶以群,,1911,1966,1911-1966,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-092,蒋天佐,,1913,1987,1913-1987,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-093,王亚平,,1905,1983,1905-1983,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-094,吴亮平,,1908,1986,1908-1986,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-095,何稼夫,,1908,1941,1908-1941,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-096,王统照,剑三,1897,1957,1897-1957,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-097,王西彦,,1914,1999,1914-1999,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-098,沈从文,上官碧,1902,1988,1902-1988,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-099,吴奔星,,1913,2004,1913-2004,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-100,姚蓬子,蓬子,1906,1969,1906-1969,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-101,徐迟,,1914,1996,1914-1996,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-102,张映纶,,1911,1941,1911-1941,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-103,王莹,喻志华,1913,1974,1913-1974,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-104,叶灵凤,灵凤,1905,1975,1905-1975,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-105,沈起予,起予,1904,1993,1904-1993,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-106,张光年,光未然,1913,2002,1913-2002,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-107,孙师毅,师毅,1904,1966,1904-1966,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-108,陈鲤庭,鲤庭,1910,2013,1910-2013,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-109,王林,,1915,1984,1915-1984,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-110,章泯,,1906,1975,1906-1975,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-111,朱静子,静子,1908,1934,1908-1934,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-112,戴望舒,,1905,1950,1905-1950,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-113,施蛰存,,1905,2003,1905-2003,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-114,刘呐鸥,呐鸥,1905,1940,1905-1940,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-115,穆时英,时英,1912,1940,1912-1940,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-116,孙席珍,席珍,1905,1984,1905-1984,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-117,陈波儿,波儿,1907,1951,1907-1951,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-118,吴组缃,组缃,1908,1994,1908-1994,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-119,何家槐,家槐,1911,1967,1911-1967,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-120,夏征农,征农,1904,2008,1904-2008,普通成员,3,SRC-0001;SRC-1143;SRC-1144
ZLH-121,内山完造,邬其山,1885,1959,1885-1959,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-122,许广平,景宋,1898,1968,1898-1968,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-123,邹韬奋,邹恩润,1896,1944,1896-1944,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-124,李小峰,李致广,1897,1971,1897-1971,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-125,陆志庠,陆志祥,1910,1992,1910-1992,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-126,沈兼士,兼士,1887,1947,1887-1947,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-127,曹靖华,曹联亚,1897,1987,1897-1987,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-128,林语堂,语堂,1895,1976,1895-1976,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-129,胡愈之,愈之,1896,1986,1896-1986,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-130,杨杏佛,杏佛,1893,1933,1893-1933,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-131,艾格尼丝·史沫特莱,Smedley,1892,1950,1892-1950,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-132,哈罗德·伊罗生,Isaacs,1910,1986,1910-1986,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-133,埃德加·斯诺,Snow,1905,1972,1905-1972,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-134,鹿地亘,Wataru,1903,1982,1903-1982,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-135,池田幸子,幸子,1900,1976,1900-1976,外围联络人,2,SRC-0001;SRC-1143;SRC-1144
ZLH-136,宋庆龄,苏菲,1893,1981,1893-1981,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-137,蔡元培,孑民,1868,1940,1868-1940,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-138,何香凝,香凝,1878,1972,1878-1972,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-139,陈望道,望道,1891,1977,1891-1977,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-140,鲁维查,Rouwicha,1890,,1890-?,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-141,高尔基,Gorky,1868,1936,1868-1936,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-142,法捷耶夫,Fadeyev,1901,1956,1901-1956,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-143,罗曼·罗兰,Rolland,1866,1944,1866-1944,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-144,巴比塞,Barbusse,1873,1935,1873-1935,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-145,萧伯纳,Shaw,1856,1950,1856-1950,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-146,马尔罗,Malraux,1901,1976,1901-1976,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-147,辛克莱,Sinclair,1878,1968,1878-1968,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-148,片山潜,Katayama,1859,1933,1859-1933,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-149,路易·艾黎,Alley,1897,1987,1897-1987,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-150,萧三,萧植蕃、艾三,1896,1983,1896-1983,相关人士,2,SRC-0001;SRC-1143;SRC-1144
ZLH-151,巴金,李尧棠、芾甘,1904,2005,1904-2005,相关人士,2,SRC-0001
ZLH-152,周全平,,1902,1983,1902-1983,骨干成员,4,SRC-0001
ZLH-153,王尧山,,1910,2005,1910-2005,骨干成员,4,SRC-0001
ZLH-154,胡乔木,,1912,1992,1912-1992,相关人士,2,SRC-0001
ZLH-155,宣侠父,,1899,1938,1899-1938,外围联络人,2,SRC-0001
ZLH-156,蒋牧良,,1901,1973,1901-1973,普通成员,3,SRC-0001
ZLH-157,彭家煌,,1898,1933,1898-1933,普通成员,3,SRC-0001
ZLH-158,师陀,,1910,1988,1910-1988,普通成员,3,SRC-0001
ZLH-159,谢冰莹,,1906,2000,1906-2000,普通成员,3,SRC-0001
ZLH-160,李伟森,李求实,1903,1931,1903-1931,骨干成员,4,SRC-0001
ZLH-161,聂耳,,1912,1935,1912-1935,外围联络人,2,SRC-0001
ZLH-162,金山,,1911,1982,1911-1982,外围联络人,2,SRC-0001
