relation_id,source_person_id,target_person_id,original_relation_type,standard_relation_type,raw_relation_type,llm_suggested_relation_type,final_relation_type,llm_reason,llm_confidence,display_status,relation_quality_score,relation_risk_level,context,evidence_ref,weight,source_ids,correction_reason,confidence,needs_manual_review
REL-00020,ZLH-001,ZLH-016,组织隶属,交往,交往,,交往,,,formal,75,high,柔石来访。答矛尘信。午后侍桁、柔石来，假柔石泉卅。下午同柔石赴北四川路一带看,鲁迅日记 1929年8月29日; 鲁迅日记 1930年3月28日; 鲁迅日记 1930年3月30日; 鲁迅日记 1930年4月11日; 鲁迅日记 1930年4月18日; 鲁迅日记 1930年4月9日; 鲁迅日记 1930年6月10日; 鲁迅日记 1930年6月17日; 鲁迅日记 1930年6月2日; 鲁迅日记 1930年6月7日,1,SRC-0116;SRC-0023;SRC-0117;SRC-0118;SRC-0119;SRC-0120;SRC-0121;SRC-0122;SRC-0028;SRC-0123,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no
REL-00021,ZLH-001,ZLH-017,交游,交游,交游,,交游,,,formal,25,low,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 担任过左联执行委员职务的人员有鲁迅、沈端先(夏衍3、冯乃超、钱枪邱、田汉、郑伯奇、洪灵菲、周全平、蒋光慈、胡也频、柔石、姚蓬子、阳翰笙、茅眉、; 反动派逸捕杀害李伟“森、柔石、胡也频、冯铿、殴夫等位左联作家,号召人民起来反对敌人的白色",左联词典 第104页; 左联词典 第107页; 左联词典 第118页; 左联词典 第131页; 左联词典 第168页,5,SRC-0007;SRC-0012;SRC-0124;SRC-0008;SRC-0060,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00022,ZLH-001,ZLH-018,交游,交游,交游,,交游,,,formal,25,low,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 捕杀害李伟“森、柔石、胡也频、冯铿、殴夫等位左联作家,号召人民起来反对敌人的白色恐怖。为国民党屠杀同志致各国革命文学和文化团体及一切为人类进步而工作的著作家思; ,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动",左联词典 第104页; 左联词典 第118页; 左联词典 第131页; 左联词典 第139页; 左联词典 第175页,5,SRC-0007;SRC-0124;SRC-0008;SRC-0059;SRC-0125,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00023,ZLH-001,ZLH-019,交游,交游,交游,,交游,,,formal,25,low,"17日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区去参加红军,但当组织; 》,卷首有李伟椒、宗晖、冯铉、殷夫位烧士肖像.书中收有日译的冯锋小说(女闭志马英的日记》(即《红的日记》,田体夫译),并附译者撰写的《冯锏小传?及作品简介,1; 收过去两年中发表过的小说篇,鲁迅把此书和李守章《段涉的人们)台静农《地",左联词典 第131页; 左联词典 第175页; 左联词典 第192页; 左联词典 第212页; 左联词典 第239页,5,SRC-0008;SRC-0125;SRC-0126;SRC-0127;SRC-0128,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00024,ZLH-001,ZLH-020,交游,交游,交游,,交游,,,formal,25,low,"作家联盟为抗议国民党反动派屏杀李伟森胡也频、柔石、殴夫、冯铿和宗晖等左翼作家、艺术家而发,载年月日《前哨》纪念战死者专名“。它指出,这一骇人听闻的; 1931年月日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区去参加; 翼作家联盟成立大会,会后追记了鲁迅在大会上的讲演,经鲁迅本人阅审后题名《",左联词典 第118页; 左联词典 第131页; 左联词典 第171页; 左联词典 第192页; 左联词典 第200页,5,SRC-0124;SRC-0008;SRC-0009;SRC-0126;SRC-0129,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00025,ZLH-001,ZLH-021,通信,通信,通信,,通信,,,formal,0,low,1936年月间，鲁迅与丁玲有频繁书信往来，涉及收信,鲁迅日记 1936年7月18日,1,SRC-0130,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00026,ZLH-001,ZLH-022,亲属关系,亲属关系,亲属关系,,亲属关系,,,formal,70,high,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 委负责人邓和高(邓洁)在他家与鲁迅先生会见,讨论有关左联的问题。合年月日《时事新报每周文学》发表他的论文《国防文学批评的建立,认为“文学应当服务于民族解放; 德加,斯谌受夫人委托,在上海向鲁迅提出丁玲、茅盾、老舍、张天翼等位中",左联词典 第104页; 左联词典 第145页; 左联词典 第157页; 左联词典 第169页; 左联词典 第198页,5,SRC-0007;SRC-0131;SRC-0132;SRC-0133;SRC-0134,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00027,ZLH-001,ZLH-023,交游,交游,交游,,交游,,,formal,25,low,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 成员有沈起予、金奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀、杨骚叶紫、何家槐、艾芜、欧阳山、吴奚如; 左翼文学运动作出了积极的贝献。叶紫(1912一1939)左翼作家。原名余鹤林,湖南益阳人。年底到上海。为激励目己,改名余",左联词典 第104页; 左联词典 第109页; 左联词典 第162页; 左联词典 第190页; 左联词典 第247页,5,SRC-0007;SRC-0135;SRC-0136;SRC-0137;SRC-0138,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00028,ZLH-001,ZLH-024,师生关系,待核验,待核验,,待核验,,,formal,90,critical,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 成员有沈起予、金奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀、杨骚叶紫、何家槐、艾芜、欧阳山、吴奚如等也参加过委员; 、瞿秋白、茅盾、冯雪峰等,牢记鲁迅“我们应当造出大群的新的战士“的教导,努力发现和培养了一批文学新人,如艾芜、沙汀",左联词典 第104页; 左联词典 第109页; 左联词典 第131页; 左联词典 第155页; 左联词典 第227页,5,SRC-0007;SRC-0135;SRC-0008;SRC-0139;SRC-0140,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少师生关键词；证据不足以支撑原关系类型,low,no
REL-00029,ZLH-001,ZLH-025,交游,交游,交游,,交游,,,formal,25,low,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 担任过左联执行委员职务的人员有鲁迅、沈端先(夏衍3、冯乃超、钱枪邱、田汉、郑伯奇、洪灵菲、周全平、蒋光慈、胡也频、柔石、姚蓬子、阳翰笙、茅眉、周扬、周文、朗风、; ,候补常委周全平、蒋光慈。根据沙汀、任白戈、林淡秋、徐懋庸等的回忆,担任",左联词典 第104页; 左联词典 第107页; 左联词典 第108页; 左联词典 第109页; 左联词典 第131页,5,SRC-0007;SRC-0012;SRC-0039;SRC-0135;SRC-0008,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00030,ZLH-001,ZLH-026,交游,交游,交游,,交游,,,formal,25,low,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 的还有茅盾、周扬、彭慧、沙汀、胡风、周文、任白戈、徐懋庸、何家槐、林淡秋等人。有的回忆录提供,杨潮,彭柏山、彭慧、周立波、梅益等也担任过左联常委。左联秘书处左联; 成员有沈起予、金奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀、杨骚叶",左联词典 第104页; 左联词典 第108页; 左联词典 第109页; 左联词典 第114页; 左联词典 第142页,5,SRC-0007;SRC-0039;SRC-0135;SRC-0141;SRC-0055,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00031,ZLH-001,ZLH-027,交游,交游,交游,,交游,,,formal,25,low,"委负责人邓和高(邓洁)在他家与鲁迅先生会见,讨论有关左联的问题。合年月日《时事新报每周文学》发表他的论文《国防文学批评的建立,认为“文学应当服务于民族解放; 作的.“1936年月日鲁迅逝世,发表悼义《悼鲁迅先生》,回忆往事,贾颂鲁迅热心帮助后萧青年,“和高尔基热心帮助后午青年,是没有两样的.“同年月日; 丁化新文字。同年月日和萧军、沙汀等位作家举行第二次小说家座谈",左联词典 第145页; 左联词典 第156页; 左联词典 第158页; 左联词典 第219页; 左联词典 第228页,5,SRC-0131;SRC-0142;SRC-0143;SRC-0144;SRC-0145,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00032,ZLH-001,ZLH-028,交游,交游,交游,,交游,,,formal,25,low,"委负责人邓和高(邓洁)在他家与鲁迅先生会见,讨论有关左联的问题。合年月日《时事新报每周文学》发表他的论文《国防文学批评的建立,认为“文学应当服务于民族解放; 要求和任务的!“同年月,在以鲁迅为首的《中国文艺工作者宣言》上签名,拥护文艺界的抗日统一战线政策。同年月日鲁迅逝世,他和草明、张天翼、周文、路丁、胡风; ──────────左联词典以鲁迅为首的《中国文艺工作者宣言》上签名,拥",左联词典 第145页; 左联词典 第219页; 左联词典 第262页; 左联词典 第263页; 左联词典 第278页,5,SRC-0131;SRC-0144;SRC-0146;SRC-0147;SRC-0148,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00033,ZLH-001,ZLH-029,交游,交游,交游,,交游,,,formal,25,low,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 委负责人邓和高(邓洁)在他家与鲁迅先生会见,讨论有关左联的问题。合年月日《时事新报每周文学》发表他的论文《国防文学批评的建立,认为“文学应当服务于民族解放; 南农村生活的小说《丰收》,得到鲁迅好评,引起文坛注目,自此他信心百倍地为",左联词典 第104页; 左联词典 第145页; 左联词典 第162页; 左联词典 第219页; 左联词典 第228页,5,SRC-0007;SRC-0131;SRC-0136;SRC-0144;SRC-0145,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00034,ZLH-001,ZLH-031,师生关系,待核验,待核验,,待核验,,,formal,90,critical,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 、瞿秋白、茅盾、冯雪峰等,牢记鲁迅“我们应当造出大群的新的战士“的教导,努力发现和培养了一批文学新人,如艾芜、沙汀、李辉英、芦焕、葛琴等,扩大了左翼文学队伍;同; ──────────左联词典和鲁迅、田汉联名发表《欢迎反战大会国际代表宣",左联词典 第104页; 左联词典 第131页; 左联词典 第252页; 左联词典 第331页; 左联词典 第483页,5,SRC-0007;SRC-0008;SRC-0149;SRC-0150;SRC-0151,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少师生关键词；证据不足以支撑原关系类型,low,no
