event_id,event_name,event_scope,canonical_event_key,original_event_names,event_date,date_precision,place_id,historical_location,current_address,longitude,latitude,source_ids,display_note,correction_reason,confidence,needs_manual_review
EVT-00049,夏衍1927年上海文学活动记录,entity,夏衍1927年上海文学活动记录|ZLH-004|1927,夏衍上海文学活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 夏衍 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00048,夏衍1927年参与创造社活动记录,entity,夏衍1927年参与创造社活动记录|ZLH-004|1927,夏衍参与创造社活动,1927,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1927 年 夏衍 在 创造社（宝山路） 有“参与创造社活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00176,彭康1927年上海一般活动记录,entity,彭康1927年上海一般活动记录|ZLH-034|1927,彭康上海一般活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 彭康 在 上海 有“上海一般活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00108,徐懋庸1927年上海活动记录,entity,徐懋庸1927年上海活动记录|ZLH-032|1927,徐懋庸上海活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 徐懋庸 在 上海 有“上海活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00092,郑伯奇1927年上海文学活动记录,entity,郑伯奇1927年上海文学活动记录|ZLH-009|1927,郑伯奇上海文学活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 郑伯奇 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00091,郑伯奇1927年创造社文学活动记录,entity,郑伯奇1927年创造社文学活动记录|ZLH-009|1927,郑伯奇创造社文学活动,1927,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1927 年 郑伯奇 在 创造社（宝山路） 有“创造社文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00113,阳翰笙1927年上海文学活动记录,entity,阳翰笙1927年上海文学活动记录|ZLH-013|1927,阳翰笙上海文学活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 阳翰笙 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00107,阳翰笙1927年上海活动记录,entity,阳翰笙1927年上海活动记录|ZLH-013|1927,阳翰笙上海活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 阳翰笙 在 上海 有“上海活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00112,阳翰笙1927年参与创造社活动记录,entity,阳翰笙1927年参与创造社活动记录|ZLH-013|1927,阳翰笙参与创造社活动,1927,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1927 年 阳翰笙 在 创造社（宝山路） 有“参与创造社活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00014,鲁迅1927年上海文学活动记录,entity,鲁迅1927年上海文学活动记录|ZLH-001|1927,鲁迅上海文学活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 鲁迅 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00183,1928年《萌芽月刊》文学活动记录,collective,1928年《萌芽月刊》文学活动记录,《萌芽月刊》文学活动,1928,年,PLC-00067,萌芽月刊,闸北区,121.460,31.255,SRC-0001,当前仅能确认 1928 年在 萌芽月刊 存在“《萌芽月刊》文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00102,1928年上海一般活动记录,collective,1928年上海一般活动记录,上海一般活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年在 上海 存在“上海一般活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00011,1928年上海文学活动记录,collective,1928年上海文学活动记录,上海文学活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年在 上海 存在“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00009,1928年创造社文学活动记录,collective,1928年创造社文学活动记录,创造社文学活动,1928,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1928 年在 创造社（宝山路） 存在“创造社文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00103,1928年太阳社文学活动记录,collective,1928年太阳社文学活动记录,太阳社文学活动,1928,年,PLC-00039,太阳社,闸北区,121.460,31.255,SRC-0001,当前仅能确认 1928 年在 太阳社 存在“太阳社文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00059,冯雪峰1928年上海文学活动记录,entity,冯雪峰1928年上海文学活动记录|ZLH-005|1928,冯雪峰上海文学活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年 冯雪峰 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00058,冯雪峰1928年参与创造社活动记录,entity,冯雪峰1928年参与创造社活动记录|ZLH-005|1928,冯雪峰参与创造社活动,1928,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1928 年 冯雪峰 在 创造社（宝山路） 有“参与创造社活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00047,夏衍1928年上海文学活动记录,entity,夏衍1928年上海文学活动记录|ZLH-004|1928,夏衍上海文学活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年 夏衍 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00046,夏衍1928年参与创造社活动记录,entity,夏衍1928年参与创造社活动记录|ZLH-004|1928,夏衍参与创造社活动,1928,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1928 年 夏衍 在 创造社（宝山路） 有“参与创造社活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00104,蒋光慈1928年上海文学活动记录,entity,蒋光慈1928年上海文学活动记录|ZLH-012|1928,蒋光慈上海文学活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年 蒋光慈 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00227,许广平1928年上海文学活动记录,entity,许广平1928年上海文学活动记录|ZLH-122|1928,许广平上海文学活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年 许广平 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00110,阳翰笙1928年上海文学活动记录,entity,阳翰笙1928年上海文学活动记录|ZLH-013|1928,阳翰笙上海文学活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年 阳翰笙 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00109,阳翰笙1928年创造社文学活动记录,entity,阳翰笙1928年创造社文学活动记录|ZLH-013|1928,阳翰笙创造社文学活动,1928,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1928 年 阳翰笙 在 创造社（宝山路） 有“创造社文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00010,鲁迅1928年上海文学活动记录,entity,鲁迅1928年上海文学活动记录|ZLH-001|1928,鲁迅上海文学活动,1928,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1928 年 鲁迅 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00101,1929年上海文学活动记录,collective,1929年上海文学活动记录,上海文学活动,1929,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1929 年在 上海 存在“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00100,1929年太阳社文学活动记录,collective,1929年太阳社文学活动记录,太阳社文学活动,1929,年,PLC-00039,太阳社,闸北区,121.460,31.255,SRC-0001,当前仅能确认 1929 年在 太阳社 存在“太阳社文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00236,《生活》周刊创刊,collective,《生活》周刊创刊,《生活》周刊创刊,1929,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,《生活》周刊创刊于1929在上海有相关记录。,,low,no
EVT-00235,何家槐1929年上海文学活动记录,entity,何家槐1929年上海文学活动记录|ZLH-119|1929,何家槐上海文学活动,1929,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1929 年 何家槐 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00132,柔石1929年上海文学活动记录,entity,柔石1929年上海文学活动记录|ZLH-016|1929,柔石上海文学活动,1929,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1929 年 柔石 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00139,王任叔1929年上海文学活动记录,entity,王任叔1929年上海文学活动记录|ZLH-048|1929,王任叔上海文学活动,1929,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1929 年 王任叔 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00180,穆木天1929年上海一般活动记录,entity,穆木天1929年上海一般活动记录|ZLH-036|1929,穆木天上海一般活动,1929,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1929 年 穆木天 在 上海 有“上海一般活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00179,穆木天1929年中华艺术大学活动记录,entity,穆木天1929年中华艺术大学活动记录|ZLH-036|1929,穆木天中华艺术大学活动,1929,年,PLC-00066,中华艺术大学,多伦路201弄2号,121.481,31.272,SRC-0001,当前仅能确认 1929 年 穆木天 在 中华艺术大学 有“中华艺术大学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00122,郁达夫1929年上海文学活动记录,entity,郁达夫1929年上海文学活动记录|ZLH-015|1929,郁达夫上海文学活动,1929,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1929 年 郁达夫 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00019,鲁迅拜访内山书店,entity,鲁迅拜访内山书店|ZLH-001,鲁迅拜访内山书店,1929-02-16,日,PLC-00007,内山书店,四川北路2050号,121.482,31.251,SRC-0001,当前条目按已核实的日期 1929-02-16 展示；原始同名记录在时间或地点上仍存在版本冲突。,同名事件存在时间或地点冲突。,low,yes
EVT-00136,冯铿元宵抵沪,entity,ZLH-018|冯铿元宵抵沪|1929-02-24,冯铿上海社交活动,1929-02-24,日,PLC-00006,上海,上海,121.473,31.230,SRC-1131,1929年2月24日，冯铿抵达上海，当前条目按这一明确可核的来沪时间展示。,上海党史网记载冯铿于1929年2月24日元宵节抵达上海，现将该条泛化社交活动记录改写为抵沪事件。,high,no
EVT-00016,鲁迅与内山完造通信,entity,鲁迅与内山完造通信|ZLH-001,鲁迅与内山完造通信,1929-06-19,日,PLC-00007,内山书店,四川北路2050号,121.482,31.251,SRC-0001,当前条目按已核实的日期 1929-06-19 展示；原始同名记录在时间或地点上仍存在版本冲突。,同名事件存在时间或地点冲突。,low,yes
EVT-00020,鲁迅拜访内山书店,entity,鲁迅拜访内山书店|ZLH-001,鲁迅拜访内山书店,1929-07-07,日,PLC-00007,内山书店,四川北路2050号,121.482,31.251,SRC-0001,当前条目按已核实的日期 1929-07-07 展示；原始同名记录在时间或地点上仍存在版本冲突。,同名事件存在时间或地点冲突。,low,yes
EVT-00002,鲁迅与柔石会面,entity,鲁迅与柔石会面|ZLH-001,鲁迅与柔石会面,1929-08-29,日,PLC-00002,北四川路一带,四川北路近多伦路,121.482,31.260,SRC-1122,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,medium,yes
EVT-00003,鲁迅与柔石会面,entity,鲁迅与柔石会面|ZLH-016,鲁迅与柔石会面,1929-08-29,日,PLC-00002,北四川路一带,四川北路近多伦路,121.482,31.260,SRC-1122,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,medium,yes
EVT-00017,鲁迅与内山完造通信,entity,鲁迅与内山完造通信|ZLH-001,鲁迅与内山完造通信,1929-09-23,日,PLC-00007,内山书店,四川北路2050号,121.482,31.251,SRC-0001,当前条目按已核实的日期 1929-09-23 展示；原始同名记录在时间或地点上仍存在版本冲突。,同名事件存在时间或地点冲突。,low,yes
EVT-00040,1930年《萌芽月刊》文学活动记录,collective,1930年《萌芽月刊》文学活动记录,《萌芽月刊》文学活动,1930,年,PLC-00020,萌芽月刊,天目东路190号,121.460,31.255,SRC-0001,当前仅能确认 1930 年在 萌芽月刊 存在“《萌芽月刊》文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00093,1930年内山书店文学活动记录,collective,1930年内山书店文学活动记录,内山书店文学活动,1930,年,PLC-00007,内山书店,四川北路2050号,121.482,31.251,SRC-0001,当前仅能确认 1930 年在 内山书店 存在“内山书店文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00094,1930年创造社文学活动记录,collective,1930年创造社文学活动记录,创造社文学活动,1930,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1930 年在 创造社（宝山路） 存在“创造社文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00072,周扬1930年上海一般活动记录,entity,周扬1930年上海一般活动记录|ZLH-007|1930,周扬上海一般活动,1930,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1930 年 周扬 在 上海 有“上海一般活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00208,朱镜我1930年上海文学活动记录,entity,朱镜我1930年上海文学活动记录|ZLH-061|1930,朱镜我上海文学活动,1930,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1930 年 朱镜我 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00131,柔石1930年上海文学活动记录,entity,柔石1930年上海文学活动记录|ZLH-016|1930,柔石上海文学活动,1930,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1930 年 柔石 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00135,柔石1930年光华书局文学活动记录,entity,柔石1930年光华书局文学活动记录|ZLH-016|1930,柔石光华书局文学活动,1930,年,PLC-00016,光华书局（四马路）,福州路（四马路）,121.484,31.238,SRC-0001,当前仅能确认 1930 年 柔石 在 光华书局（四马路） 有“光华书局文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00134,柔石1930年商务印书馆文学活动记录,entity,柔石1930年商务印书馆文学活动记录|ZLH-016|1930,柔石商务印书馆文学活动,1930,年,PLC-00046,商务印书馆,河南中路309号,121.480,31.253,SRC-0001,当前仅能确认 1930 年 柔石 在 商务印书馆 有“商务印书馆文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00185,楼适夷1930年上海文学活动记录,entity,楼适夷1930年上海文学活动记录|ZLH-037|1930,楼适夷上海文学活动,1930,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1930 年 楼适夷 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00182,穆木天1930年上海文学活动记录,entity,穆木天1930年上海文学活动记录|ZLH-036|1930,穆木天上海文学活动,1930,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1930 年 穆木天 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00181,穆木天1930年中华艺术大学活动记录,entity,穆木天1930年中华艺术大学活动记录|ZLH-036|1930,穆木天中华艺术大学活动,1930,年,PLC-00066,中华艺术大学,多伦路201弄2号,121.481,31.272,SRC-0001,当前仅能确认 1930 年 穆木天 在 中华艺术大学 有“中华艺术大学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00209,高尔基1930年上海文学活动记录,entity,高尔基1930年上海文学活动记录|ZLH-141|1930,高尔基上海文学活动,1930,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1930 年 高尔基 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00021,鲁迅1930年虹口区文学活动记录,entity,鲁迅1930年虹口区文学活动记录|ZLH-001|1930,鲁迅虹口区文学活动,1930,年,PLC-00008,虹口区十字街头,虹口区,121.485,31.265,SRC-0001,当前仅能确认 1930 年 鲁迅 在 虹口区十字街头 有“虹口区文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00023,鲁迅光华书局抗议,entity,鲁迅光华书局抗议|ZLH-001,鲁迅光华书局抗议,1930,年,PLC-00010,光华书局,福州路465号,121.484,31.238,SRC-0001,鲁迅于1930在光华书局有相关记录。,,low,no
EVT-00022,鲁迅商务印书馆抗议,entity,鲁迅商务印书馆抗议|ZLH-001,鲁迅商务印书馆抗议,1930,年,PLC-00009,商务印书馆,河南中路309号（近宝山路）,121.480,31.253,SRC-0001,鲁迅于1930在商务印书馆有相关记录。,,low,no
EVT-00001,中国左翼作家联盟成立大会,collective,中国左翼作家联盟成立大会,左联成立大会,1930-03-02,日,PLC-00001,中华艺术大学教室（原窦乐安路233弄）,上海市虹口区多伦路201弄2号,121.48,31.27,SRC-1118;SRC-1119,公开资料表明左联成立大会于1930年3月2日在中华艺术大学借用教室召开，今址为左联会址纪念馆；原表存在公啡咖啡馆、前哨、复旦大学等冲突地点。,公开资料表明左联成立大会于1930年3月2日在中华艺术大学借用教室召开，今址为左联会址纪念馆；原表存在公啡咖啡馆、前哨、复旦大学等冲突地点。,high,no
EVT-00004,鲁迅与柔石会面,entity,鲁迅与柔石会面|ZLH-001,鲁迅与柔石会面,1930-03-28,日,PLC-00002,北四川路一带,四川北路近多伦路,121.482,31.260,SRC-1122,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,medium,yes
EVT-00005,鲁迅与柔石会面,entity,鲁迅与柔石会面|ZLH-016,鲁迅与柔石会面,1930-03-28,日,PLC-00002,北四川路一带,四川北路近多伦路,121.482,31.260,SRC-1122,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,公开转录材料可支持1930年3月28日与3月31日相关看屋活动；1929年8月29日与1930年3月30日条目仍需回查《鲁迅日记》原文，不宜强行改写。,medium,yes
EVT-00006,鲁迅与柔石会面,entity,鲁迅与柔石会面|ZLH-001,鲁迅与柔石会面,1930-03-30,日,PLC-00002,北四川路一带,四川北路近多伦路,121.482,31.260,SRC-1122,公开可检索转录材料更明确出现的是1930-03-31同柔石看屋，当前1930-03-30记录未找到同等级公开佐证，保留待人工复核。,公开可检索转录材料更明确出现的是1930-03-31同柔石看屋，当前1930-03-30记录未找到同等级公开佐证，保留待人工复核。,low,yes
EVT-00007,鲁迅与柔石会面,entity,鲁迅与柔石会面|ZLH-016,鲁迅与柔石会面,1930-03-30,日,PLC-00002,北四川路一带,四川北路近多伦路,121.482,31.260,SRC-1122,公开可检索转录材料更明确出现的是1930-03-31同柔石看屋，当前1930-03-30记录未找到同等级公开佐证，保留待人工复核。,公开可检索转录材料更明确出现的是1930-03-31同柔石看屋，当前1930-03-30记录未找到同等级公开佐证，保留待人工复核。,low,yes
EVT-00256,鲁迅五十寿辰集会,collective,鲁迅五十寿辰集会,鲁迅五十寿辰集会,1930-09-17,日,PLC-00071,荷兰西餐室,重庆南路182号,,,SRC-0001,鲁迅五十寿辰集会于1930-09-17在荷兰西餐室有相关记录。,,low,no
EVT-00216,1931年上海文化交流活动记录,collective,1931年上海文化交流活动记录,上海文化交流活动,1931,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1931 年在 上海 存在“上海文化交流活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00041,1931年上海文学活动记录,collective,1931年上海文学活动记录,上海文学活动,1931,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1931 年在 上海 存在“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00225,1931年上海社会活动记录,collective,1931年上海社会活动记录,上海社会活动,1931,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1931 年在 上海 存在“上海社会活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00244,1931年史沫特莱上海文学活动记录,collective,1931年史沫特莱上海文学活动记录,史沫特莱上海文学活动,1931,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1931 年在 上海 存在“史沫特莱上海文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
