membership_id,organization_id,person_id,membership_role,membership_type,source_ids,evidence_ids,evidence_status,evidence_count,decision_rule,confidence,needs_manual_review
MEM-00018,ORG-001,ZLH-018,相关人士,related_person,SRC-0001;SRC-0170;SRC-0766,OME-00018;OME-00227;OME-00346;OME-00352,association_only,4,association_without_member_evidence,medium,yes
MEM-00019,ORG-001,ZLH-019,成员身份待核,candidate,SRC-0001;SRC-0695;SRC-0170,OME-00019;OME-00177;OME-00228,insufficient_member_evidence,3,member_evidence_below_threshold,medium,yes
MEM-00020,ORG-001,ZLH-020,成员身份待核,candidate,SRC-0001,OME-00020,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00021,ORG-001,ZLH-021,正式成员,confirmed_member,SRC-0001;SRC-0170;SRC-0695;SRC-0828;SRC-0658;SRC-0641;SRC-0991;SRC-0766;SRC-0134;SRC-0538;SRC-0151;SRC-0607;SRC-0006;SRC-0588,OME-00021;OME-00155;OME-00161;OME-00178;OME-00244;OME-00264;OME-00329;OME-00337;OME-00341;OME-00348;OME-00355;OME-00363;OME-00440;OME-00471;OME-00483;OME-00509;OME-00532;OME-00534;OME-00536;OME-00576,evidence_confirmed,20,two_independent_b_sources,high,no
MEM-00022,ORG-001,ZLH-022,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0828;SRC-0855;SRC-0939;SRC-0170;SRC-0852;SRC-0134;SRC-0647,OME-00022;OME-00179;OME-00265;OME-00288;OME-00303;OME-00359;OME-00391;OME-00438;OME-00515,evidence_confirmed,9,two_independent_b_sources,high,no
MEM-00023,ORG-001,ZLH-023,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0798;SRC-0137;SRC-0647;SRC-0006,OME-00023;OME-00180;OME-00378;OME-00434;OME-00516;OME-00543,evidence_confirmed,6,two_independent_b_sources,high,no
MEM-00024,ORG-001,ZLH-024,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0855;SRC-0939;SRC-0170;SRC-0852;SRC-0252;SRC-0647;SRC-0959,OME-00024;OME-00181;OME-00289;OME-00304;OME-00358;OME-00392;OME-00454;OME-00517;OME-00540,evidence_confirmed,9,two_independent_b_sources,high,no
MEM-00025,ORG-001,ZLH-025,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0852;SRC-0039;SRC-0006;SRC-0151;SRC-0702,OME-00025;OME-00182;OME-00393;OME-00419;OME-00433;OME-00484;OME-00541;OME-00550,evidence_confirmed,8,two_independent_b_sources,high,no
MEM-00026,ORG-001,ZLH-026,正式成员,confirmed_member,SRC-0001;SRC-0767;SRC-0695;SRC-0855;SRC-0975;SRC-0852;SRC-0039;SRC-0591;SRC-0151;SRC-0593;SRC-0647;SRC-0736;SRC-0006;SRC-0974,OME-00026;OME-00165;OME-00183;OME-00290;OME-00357;OME-00394;OME-00420;OME-00465;OME-00485;OME-00495;OME-00518;OME-00564;OME-00566;OME-00571,evidence_confirmed,14,two_independent_b_sources,high,no
MEM-00027,ORG-001,ZLH-027,成员身份待核,candidate,SRC-0001;SRC-0591,OME-00027;OME-00466,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00028,ORG-001,ZLH-028,成员身份待核,candidate,SRC-0001,OME-00028,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00029,ORG-001,ZLH-029,正式成员,confirmed_member,SRC-0001;SRC-0170;SRC-0855;SRC-0939;SRC-0988;SRC-0952;SRC-0852;SRC-0593;SRC-0647,OME-00029;OME-00283;OME-00291;OME-00305;OME-00360;OME-00365;OME-00382;OME-00395;OME-00496;OME-00519,evidence_confirmed,10,two_independent_b_sources,high,no
MEM-00030,ORG-001,ZLH-030,成员身份待核,candidate,SRC-0001;SRC-0170,OME-00030;OME-00277,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00031,ORG-001,ZLH-031,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0151,OME-00031;OME-00184;OME-00486,evidence_confirmed,3,two_independent_b_sources,high,no
MEM-00032,ORG-001,ZLH-032,正式成员,confirmed_member,SRC-0001;SRC-0739;SRC-0695;SRC-0855;SRC-0990;SRC-1038;SRC-0170;SRC-0881;SRC-0768;SRC-0852;SRC-0039;SRC-0647,OME-00032;OME-00162;OME-00185;OME-00292;OME-00318;OME-00322;OME-00324;OME-00368;OME-00371;OME-00373;OME-00384;OME-00386;OME-00396;OME-00421;OME-00520,evidence_confirmed,15,two_independent_b_sources,high,no
MEM-00033,ORG-001,ZLH-033,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0782;SRC-0939;SRC-0170;SRC-0852;SRC-0039;SRC-0137;SRC-0006,OME-00033;OME-00186;OME-00271;OME-00306;OME-00387;OME-00397;OME-00422;OME-00435;OME-00561,evidence_confirmed,9,two_independent_b_sources,high,no
MEM-00034,ORG-001,ZLH-034,成员身份待核,candidate,SRC-0001;SRC-0695,OME-00034;OME-00187,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00035,ORG-001,ZLH-035,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0855;SRC-0939;SRC-1007;SRC-0151;SRC-0593;SRC-0647;SRC-0006,OME-00035;OME-00188;OME-00293;OME-00307;OME-00472;OME-00487;OME-00497;OME-00521;OME-00549,evidence_confirmed,9,two_independent_b_sources,high,no
MEM-00036,ORG-001,ZLH-036,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0828;SRC-0641;SRC-0252;SRC-0151;SRC-0765,OME-00036;OME-00189;OME-00245;OME-00266;OME-00278;OME-00326;OME-00338;OME-00380;OME-00455;OME-00488;OME-00577,evidence_confirmed,11,two_independent_b_sources,high,no
MEM-00037,ORG-001,ZLH-037,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0815;SRC-0170;SRC-0608,OME-00037;OME-00190;OME-00252;OME-00379;OME-00527,evidence_confirmed,5,two_independent_b_sources,high,no
MEM-00038,ORG-001,ZLH-038,成员身份待核,candidate,SRC-0001;SRC-0695,OME-00038;OME-00191,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00039,ORG-001,ZLH-039,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0855;SRC-0939;SRC-0852;SRC-0593,OME-00039;OME-00192;OME-00294;OME-00308;OME-00398;OME-00498,evidence_confirmed,6,two_independent_b_sources,high,no
MEM-00040,ORG-001,ZLH-040,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0855;SRC-0939;SRC-0821,OME-00040;OME-00193;OME-00295;OME-00309;OME-00563,evidence_confirmed,5,two_independent_b_sources,high,no
MEM-00041,ORG-001,ZLH-041,成员身份待核,candidate,SRC-0001,OME-00041,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00042,ORG-001,ZLH-042,成员身份待核,candidate,SRC-0001;SRC-0695,OME-00042;OME-00194,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00043,ORG-001,ZLH-043,成员身份待核,candidate,SRC-0001,OME-00043,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00044,ORG-001,ZLH-044,成员身份待核,candidate,SRC-0001,OME-00044,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00045,ORG-001,ZLH-045,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0990;SRC-0039,OME-00045;OME-00195;OME-00279;OME-00319;OME-00425,evidence_confirmed,5,two_independent_b_sources,high,no
MEM-00046,ORG-001,ZLH-046,成员身份待核,candidate,SRC-0001,OME-00046,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00047,ORG-001,ZLH-047,正式成员,confirmed_member,SRC-0001;SRC-0739;SRC-0039,OME-00047;OME-00163;OME-00423,evidence_confirmed,3,two_independent_b_sources,high,no
MEM-00048,ORG-001,ZLH-048,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0852;SRC-0647,OME-00048;OME-00196;OME-00280;OME-00399;OME-00522,evidence_confirmed,5,two_independent_b_sources,high,no
MEM-00049,ORG-001,ZLH-049,成员身份待核,candidate,SRC-0001;SRC-0695,OME-00049;OME-00197,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00050,ORG-001,ZLH-050,成员身份待核,candidate,SRC-0001,OME-00050,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00051,ORG-001,ZLH-051,成员身份待核,candidate,SRC-0001,OME-00051,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00052,ORG-001,ZLH-052,成员身份待核,candidate,SRC-0001,OME-00052,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00053,ORG-001,ZLH-053,成员身份待核,candidate,SRC-0001;SRC-0939,OME-00053;OME-00310,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00054,ORG-001,ZLH-054,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0855;SRC-0006;SRC-0151;SRC-0647,OME-00054;OME-00198;OME-00281;OME-00296;OME-00412;OME-00489;OME-00523,evidence_confirmed,7,two_independent_b_sources,high,no
MEM-00055,ORG-001,ZLH-055,成员身份待核,candidate,SRC-0001,OME-00055,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00056,ORG-001,ZLH-056,成员身份待核,candidate,SRC-0001,OME-00056,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00057,ORG-001,ZLH-057,成员身份待核,candidate,SRC-0001,OME-00057,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00058,ORG-001,ZLH-058,成员身份待核,candidate,SRC-0001;SRC-0695;SRC-0855;SRC-0939,OME-00058;OME-00199;OME-00297;OME-00311,insufficient_member_evidence,4,member_evidence_below_threshold,medium,yes
MEM-00059,ORG-001,ZLH-059,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0828;SRC-0855;SRC-0852;SRC-1057;SRC-0151,OME-00059;OME-00200;OME-00267;OME-00298;OME-00400;OME-00449;OME-00490,evidence_confirmed,7,two_independent_b_sources,high,no
MEM-00060,ORG-001,ZLH-060,成员身份待核,candidate,SRC-0001;SRC-0939,OME-00060;OME-00312,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00061,ORG-001,ZLH-061,成员身份待核,candidate,SRC-0001;SRC-0695;SRC-0651,OME-00061;OME-00201;OME-00222,insufficient_member_evidence,3,member_evidence_below_threshold,medium,yes
MEM-00062,ORG-001,ZLH-062,成员身份待核,candidate,SRC-0001,OME-00062,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00063,ORG-001,ZLH-063,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0855;SRC-0939;SRC-0881;SRC-0039;SRC-0781;SRC-0904;SRC-0647;SRC-0702,OME-00063;OME-00202;OME-00299;OME-00313;OME-00369;OME-00424;OME-00461;OME-00503;OME-00524;OME-00552,evidence_confirmed,10,two_independent_b_sources,high,no
MEM-00064,ORG-001,ZLH-064,成员身份待核,candidate,SRC-0001,OME-00064,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00065,ORG-001,ZLH-065,成员身份待核,candidate,SRC-0001,OME-00065,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00066,ORG-001,ZLH-066,成员身份待核,candidate,SRC-0001,OME-00066,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00067,ORG-001,ZLH-067,正式成员,confirmed_member,SRC-0001;SRC-0926;SRC-0151,OME-00067;OME-00375;OME-00491,evidence_confirmed,3,two_independent_b_sources,high,no
MEM-00068,ORG-001,ZLH-068,成员身份待核,candidate,SRC-0001,OME-00068,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00069,ORG-001,ZLH-069,成员身份待核,candidate,SRC-0001,OME-00069,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00070,ORG-001,ZLH-070,成员身份待核,candidate,SRC-0001,OME-00070,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00071,ORG-001,ZLH-071,成员身份待核,candidate,SRC-0001,OME-00071,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00072,ORG-001,ZLH-072,成员身份待核,candidate,SRC-0001,OME-00072,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00073,ORG-001,ZLH-073,正式成员,confirmed_member,SRC-0001;SRC-0868;SRC-0823,OME-00073;OME-00255;OME-00501,evidence_confirmed,3,two_independent_b_sources,high,no
MEM-00074,ORG-001,ZLH-074,成员身份待核,candidate,SRC-0001,OME-00074,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00075,ORG-001,ZLH-075,成员身份待核,candidate,SRC-0001,OME-00075,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00076,ORG-001,ZLH-076,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0766;SRC-0710;SRC-0760;SRC-0731,OME-00076;OME-00203;OME-00344;OME-00410;OME-00450;OME-00456,evidence_confirmed,6,two_independent_b_sources,high,no
MEM-00077,ORG-001,ZLH-077,成员身份待核,candidate,SRC-0001;SRC-0695;SRC-0868;SRC-0852,OME-00077;OME-00204;OME-00256;OME-00401,insufficient_member_evidence,4,member_evidence_below_threshold,medium,yes
MEM-00078,ORG-001,ZLH-078,成员身份待核,candidate,SRC-0001,OME-00078,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00079,ORG-001,ZLH-079,成员身份待核,candidate,SRC-0001,OME-00079,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00080,ORG-001,ZLH-080,成员身份待核,candidate,SRC-0001;SRC-0695;SRC-0852,OME-00080;OME-00205;OME-00402,insufficient_member_evidence,3,member_evidence_below_threshold,medium,yes
MEM-00081,ORG-001,ZLH-081,成员身份待核,candidate,SRC-0001;SRC-1050,OME-00081;OME-00413,lead_only,2,raw_lead_without_member_evidence,low,yes
MEM-00082,ORG-001,ZLH-082,成员身份待核,candidate,SRC-0001,OME-00082,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00083,ORG-001,ZLH-083,正式成员,confirmed_member,SRC-0001;SRC-0989;SRC-1016;SRC-0904;SRC-0706,OME-00083;OME-00223;OME-00361;OME-00504;OME-00560,evidence_confirmed,5,two_independent_b_sources,high,no
MEM-00084,ORG-001,ZLH-084,成员身份待核,candidate,SRC-0001,OME-00084,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00085,ORG-001,ZLH-085,成员身份待核,candidate,SRC-0001;SRC-0959,OME-00085;OME-00539,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00086,ORG-001,ZLH-086,成员身份待核,candidate,SRC-0001,OME-00086,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00087,ORG-001,ZLH-087,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0759,OME-00087;OME-00206;OME-00537,evidence_confirmed,3,two_independent_b_sources,high,no
MEM-00088,ORG-001,ZLH-088,成员身份待核,candidate,SRC-0001,OME-00088,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00089,ORG-001,ZLH-089,成员身份待核,candidate,SRC-0001,OME-00089,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00090,ORG-001,ZLH-090,成员身份待核,candidate,SRC-0001,OME-00090,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00091,ORG-001,ZLH-091,正式成员,confirmed_member,SRC-0001;SRC-0641;SRC-0852;SRC-0728;SRC-0681;SRC-0985,OME-00091;OME-00339;OME-00403;OME-00451;OME-00452;OME-00542,evidence_confirmed,6,two_independent_b_sources,high,no
MEM-00092,ORG-001,ZLH-092,成员身份待核,candidate,SRC-0001,OME-00092,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00093,ORG-001,ZLH-093,成员身份待核,candidate,SRC-0001,OME-00093,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00094,ORG-001,ZLH-094,成员身份待核,candidate,SRC-0001,OME-00094,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00095,ORG-001,ZLH-095,成员身份待核,candidate,SRC-0001,OME-00095,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00096,ORG-001,ZLH-096,成员身份待核,candidate,SRC-0001;SRC-1050,OME-00096;OME-00414,lead_only,2,raw_lead_without_member_evidence,low,yes
MEM-00097,ORG-001,ZLH-097,成员身份待核,candidate,SRC-0001,OME-00097,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00098,ORG-001,ZLH-098,相关人士,related_person,SRC-0001;SRC-0747,OME-00098;OME-00151,association_only,2,association_without_member_evidence,medium,yes
MEM-00099,ORG-001,ZLH-099,成员身份待核,candidate,SRC-0001,OME-00099,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00100,ORG-001,ZLH-100,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0151,OME-00100;OME-00207;OME-00246;OME-00492,evidence_confirmed,4,two_independent_b_sources,high,no
MEM-00101,ORG-001,ZLH-101,成员身份待核,candidate,SRC-0001,OME-00101,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00102,ORG-001,ZLH-102,成员身份待核,candidate,SRC-0001,OME-00102,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00103,ORG-001,ZLH-103,成员身份待核,candidate,SRC-0001,OME-00103,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00104,ORG-001,ZLH-104,成员身份待核,candidate,SRC-0001;SRC-0695,OME-00104;OME-00208,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00105,ORG-001,ZLH-105,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0828;SRC-0855;SRC-0939;SRC-0151,OME-00105;OME-00209;OME-00247;OME-00268;OME-00300;OME-00314;OME-00493,evidence_confirmed,7,two_independent_b_sources,high,no
MEM-00106,ORG-001,ZLH-106,成员身份待核,candidate,SRC-0001,OME-00106,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00107,ORG-001,ZLH-107,成员身份待核,candidate,SRC-0001,OME-00107,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00108,ORG-001,ZLH-108,成员身份待核,candidate,SRC-0001,OME-00108,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00109,ORG-001,ZLH-109,成员身份待核,candidate,SRC-0001,OME-00109,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00110,ORG-001,ZLH-110,成员身份待核,candidate,SRC-0001,OME-00110,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00111,ORG-001,ZLH-111,成员身份待核,candidate,SRC-0001,OME-00111,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00112,ORG-001,ZLH-112,成员身份待核,candidate,SRC-0001;SRC-0695,OME-00112;OME-00210,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00113,ORG-001,ZLH-113,相关人士,related_person,SRC-0001,OME-00113,association_only,1,association_without_member_evidence,medium,yes
MEM-00114,ORG-001,ZLH-114,相关人士,related_person,SRC-0001,OME-00114,association_only,1,association_without_member_evidence,medium,yes
MEM-00115,ORG-001,ZLH-115,相关人士,related_person,SRC-0001,OME-00115,association_only,1,association_without_member_evidence,medium,yes
MEM-00116,ORG-001,ZLH-116,正式成员,confirmed_member,SRC-0001;SRC-0619;SRC-0126;SRC-0493;SRC-0254,OME-00116;OME-00388;OME-00436;OME-00444;OME-00462,evidence_confirmed,5,two_independent_b_sources,high,no
MEM-00117,ORG-001,ZLH-117,成员身份待核,candidate,SRC-0001,OME-00117,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00118,ORG-001,ZLH-118,成员身份待核,candidate,SRC-0001,OME-00118,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00119,ORG-001,ZLH-119,正式成员,confirmed_member,SRC-0001;SRC-0739;SRC-0695;SRC-0170;SRC-0852;SRC-0285;SRC-1094;SRC-0908;SRC-0696;SRC-0647,OME-00119;OME-00164;OME-00211;OME-00282;OME-00404;OME-00428;OME-00429;OME-00457;OME-00506;OME-00525,evidence_confirmed,10,two_independent_b_sources,high,no
MEM-00120,ORG-001,ZLH-120,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0855;SRC-0939;SRC-0852;SRC-0170;SRC-0287;SRC-0593;SRC-0647;SRC-0716,OME-00120;OME-00212;OME-00301;OME-00315;OME-00405;OME-00406;OME-00442;OME-00443;OME-00499;OME-00526;OME-00568,evidence_confirmed,11,two_independent_b_sources,high,no
MEM-00121,ORG-001,ZLH-121,相关人士,related_person,SRC-0001,OME-00121,association_only,1,association_without_member_evidence,medium,yes
MEM-00122,ORG-001,ZLH-122,成员身份待核,candidate,SRC-0001;SRC-0140,OME-00122;OME-00446,insufficient_member_evidence,2,member_evidence_below_threshold,medium,yes
MEM-00123,ORG-001,ZLH-123,相关人士,related_person,SRC-0001,OME-00123,association_only,1,association_without_member_evidence,medium,yes
MEM-00124,ORG-001,ZLH-124,相关人士,related_person,SRC-0001,OME-00124,association_only,1,association_without_member_evidence,medium,yes
MEM-00125,ORG-001,ZLH-125,相关人士,related_person,SRC-0001,OME-00125,association_only,1,association_without_member_evidence,medium,yes
MEM-00126,ORG-001,ZLH-126,相关人士,related_person,SRC-0001,OME-00126,association_only,1,association_without_member_evidence,medium,yes
MEM-00127,ORG-001,ZLH-127,相关人士,related_person,SRC-0001,OME-00127,association_only,1,association_without_member_evidence,medium,yes
MEM-00128,ORG-001,ZLH-128,相关人士,related_person,SRC-0001;SRC-0747,OME-00128;OME-00152,association_only,2,association_without_member_evidence,medium,yes
