membership_id,organization_id,person_id,membership_role,membership_type,source_ids,confidence,needs_manual_review
MEM-00055,ORG-001,ZLH-055,骨干成员,member,SRC-0001,high,no
MEM-00056,ORG-001,ZLH-056,骨干成员,member,SRC-0001,high,no
MEM-00057,ORG-001,ZLH-057,骨干成员,member,SRC-0001,high,no
MEM-00058,ORG-001,ZLH-058,骨干成员,member,SRC-0001,high,no
MEM-00059,ORG-001,ZLH-059,骨干成员,member,SRC-0001,high,no
MEM-00060,ORG-001,ZLH-060,骨干成员,member,SRC-0001,high,no
MEM-00061,ORG-001,ZLH-061,普通成员,member,SRC-0001,high,no
MEM-00062,ORG-001,ZLH-062,普通成员,member,SRC-0001,high,no
MEM-00063,ORG-001,ZLH-063,普通成员,member,SRC-0001,high,no
MEM-00064,ORG-001,ZLH-064,普通成员,member,SRC-0001,high,no
MEM-00065,ORG-001,ZLH-065,普通成员,member,SRC-0001,high,no
MEM-00066,ORG-001,ZLH-066,普通成员,member,SRC-0001,high,no
MEM-00067,ORG-001,ZLH-067,普通成员,member,SRC-0001,high,no
MEM-00068,ORG-001,ZLH-068,普通成员,member,SRC-0001,high,no
MEM-00069,ORG-001,ZLH-069,普通成员,member,SRC-0001,high,no
MEM-00070,ORG-001,ZLH-070,普通成员,member,SRC-0001,high,no
MEM-00071,ORG-001,ZLH-071,普通成员,member,SRC-0001,high,no
MEM-00072,ORG-001,ZLH-072,普通成员,member,SRC-0001,high,no
MEM-00073,ORG-001,ZLH-073,普通成员,member,SRC-0001,high,no
MEM-00074,ORG-001,ZLH-074,普通成员,member,SRC-0001,high,no
MEM-00075,ORG-001,ZLH-075,普通成员,member,SRC-0001,high,no
MEM-00076,ORG-001,ZLH-076,普通成员,member,SRC-0001,high,no
MEM-00077,ORG-001,ZLH-077,普通成员,member,SRC-0001,high,no
MEM-00078,ORG-001,ZLH-078,普通成员,member,SRC-0001,high,no
MEM-00079,ORG-001,ZLH-079,普通成员,member,SRC-0001,high,no
MEM-00080,ORG-001,ZLH-080,普通成员,member,SRC-0001,high,no
MEM-00081,ORG-001,ZLH-081,普通成员,member,SRC-0001,high,no
MEM-00082,ORG-001,ZLH-082,普通成员,member,SRC-0001,high,no
MEM-00083,ORG-001,ZLH-083,普通成员,member,SRC-0001,high,no
MEM-00084,ORG-001,ZLH-084,普通成员,member,SRC-0001,high,no
MEM-00085,ORG-001,ZLH-085,普通成员,member,SRC-0001,high,no
MEM-00086,ORG-001,ZLH-086,普通成员,member,SRC-0001,high,no
MEM-00087,ORG-001,ZLH-087,普通成员,member,SRC-0001,high,no
MEM-00088,ORG-001,ZLH-088,普通成员,member,SRC-0001,high,no
MEM-00089,ORG-001,ZLH-089,普通成员,member,SRC-0001,high,no
MEM-00090,ORG-001,ZLH-090,普通成员,member,SRC-0001,high,no
MEM-00091,ORG-001,ZLH-091,普通成员,member,SRC-0001,high,no
MEM-00092,ORG-001,ZLH-092,普通成员,member,SRC-0001,high,no
MEM-00093,ORG-001,ZLH-093,普通成员,member,SRC-0001,high,no
MEM-00094,ORG-001,ZLH-094,普通成员,member,SRC-0001,high,no
MEM-00095,ORG-001,ZLH-095,普通成员,member,SRC-0001,high,no
MEM-00096,ORG-001,ZLH-096,普通成员,member,SRC-0001,high,no
MEM-00097,ORG-001,ZLH-097,普通成员,member,SRC-0001,high,no
MEM-00098,ORG-001,ZLH-098,相关人士,related,SRC-0001,medium,yes
MEM-00099,ORG-001,ZLH-099,普通成员,member,SRC-0001,high,no
MEM-00100,ORG-001,ZLH-100,普通成员,member,SRC-0001,high,no
MEM-00101,ORG-001,ZLH-101,普通成员,member,SRC-0001,high,no
MEM-00102,ORG-001,ZLH-102,普通成员,member,SRC-0001,high,no
MEM-00103,ORG-001,ZLH-103,普通成员,member,SRC-0001,high,no
MEM-00104,ORG-001,ZLH-104,相关人士,related,SRC-0001,medium,yes
MEM-00105,ORG-001,ZLH-105,普通成员,member,SRC-0001,high,no
MEM-00106,ORG-001,ZLH-106,普通成员,member,SRC-0001,high,no
MEM-00107,ORG-001,ZLH-107,普通成员,member,SRC-0001,high,no
MEM-00108,ORG-001,ZLH-108,普通成员,member,SRC-0001,high,no
MEM-00109,ORG-001,ZLH-109,普通成员,member,SRC-0001,high,no
MEM-00110,ORG-001,ZLH-110,普通成员,member,SRC-0001,high,no
MEM-00111,ORG-001,ZLH-111,普通成员,member,SRC-0001,high,no
MEM-00112,ORG-001,ZLH-112,相关人士,related,SRC-0001,medium,yes
MEM-00113,ORG-001,ZLH-113,相关人士,related,SRC-0001,medium,yes
MEM-00114,ORG-001,ZLH-114,相关人士,related,SRC-0001,medium,yes
MEM-00115,ORG-001,ZLH-115,相关人士,related,SRC-0001,medium,yes
MEM-00116,ORG-001,ZLH-116,普通成员,member,SRC-0001,high,no
MEM-00117,ORG-001,ZLH-117,普通成员,member,SRC-0001,high,no
MEM-00118,ORG-001,ZLH-118,普通成员,member,SRC-0001,high,no
MEM-00119,ORG-001,ZLH-119,普通成员,member,SRC-0001,high,no
MEM-00120,ORG-001,ZLH-120,普通成员,member,SRC-0001,high,no
MEM-00121,ORG-001,ZLH-121,外围联络人,related,SRC-0001,medium,yes
MEM-00122,ORG-001,ZLH-122,外围联络人,related,SRC-0001,medium,yes
MEM-00123,ORG-001,ZLH-123,外围联络人,related,SRC-0001,medium,yes
MEM-00124,ORG-001,ZLH-124,外围联络人,related,SRC-0001,medium,yes
MEM-00125,ORG-001,ZLH-125,外围联络人,related,SRC-0001,medium,yes
MEM-00126,ORG-001,ZLH-126,外围联络人,related,SRC-0001,medium,yes
MEM-00127,ORG-001,ZLH-127,外围联络人,related,SRC-0001,medium,yes
MEM-00128,ORG-001,ZLH-128,外围联络人,related,SRC-0001,medium,yes
MEM-00129,ORG-001,ZLH-129,外围联络人,related,SRC-0001,medium,yes
MEM-00130,ORG-001,ZLH-130,外围联络人,related,SRC-0001,medium,yes
MEM-00131,ORG-001,ZLH-131,外围联络人,related,SRC-0001,medium,yes
MEM-00132,ORG-001,ZLH-132,外围联络人,related,SRC-0001,medium,yes
MEM-00133,ORG-001,ZLH-133,外围联络人,related,SRC-0001,medium,yes
MEM-00134,ORG-001,ZLH-134,外围联络人,related,SRC-0001,medium,yes
MEM-00135,ORG-001,ZLH-135,外围联络人,related,SRC-0001,medium,yes
MEM-00136,ORG-001,ZLH-136,相关人士,related,SRC-0001,medium,yes
MEM-00137,ORG-001,ZLH-137,相关人士,related,SRC-0001,medium,yes
MEM-00138,ORG-001,ZLH-138,相关人士,related,SRC-0001,medium,yes
MEM-00139,ORG-001,ZLH-139,相关人士,related,SRC-0001,medium,yes
MEM-00140,ORG-001,ZLH-140,相关人士,related,SRC-0001,medium,yes
MEM-00141,ORG-001,ZLH-141,相关人士,related,SRC-0001,medium,yes
MEM-00142,ORG-001,ZLH-142,相关人士,related,SRC-0001,medium,yes
MEM-00143,ORG-001,ZLH-143,相关人士,related,SRC-0001,medium,yes
MEM-00144,ORG-001,ZLH-144,相关人士,related,SRC-0001,medium,yes
MEM-00145,ORG-001,ZLH-145,相关人士,related,SRC-0001,medium,yes
MEM-00146,ORG-001,ZLH-146,相关人士,related,SRC-0001,medium,yes
MEM-00147,ORG-001,ZLH-147,相关人士,related,SRC-0001,medium,yes
MEM-00148,ORG-001,ZLH-148,相关人士,related,SRC-0001,medium,yes
MEM-00149,ORG-001,ZLH-149,相关人士,related,SRC-0001,medium,yes
MEM-00150,ORG-001,ZLH-150,相关人士,related,SRC-0001,medium,yes
