receipt_id,event_id,search_group,search_kind,query,checked_at,backend,result_status,page_title,page_url,access_status,linked_source_id,linked_evidence_id,finding
"RCPT-EVP3-0011","EVT-00187","2","institution","《中国左翼作家联盟》组织史 1931 内山书店 会议 记载","2026-08-21T17:56:00+08:00","WebSearch(域名限定:dangshi.people.cn,people.com.cn,cssn.cn,shtong.gov.cn等)","irrelevant","王锡荣：'左联'研究的六个陷阱（社科院近代史所转载）","http://jds.cssn.cn/newzxdt/202101/t20210128_5300159.shtml","搜索结果命中（未开正文）","","","组织史脉络：1931年左联成员由约90人缩至12人；1931年可考会议为东方旅社/洛阳书店一线，无内山书店会议记载"
"RCPT-EVP3-0012","EVT-00187","3","independent_work","楼适夷 回忆 左联 1931年 内山书店 会议 王锡荣 考证","2026-08-21T18:06:00+08:00","WebSearch(域名限定:dangshi.people.cn等)+WebFetch直连核验","conflict","钩沉｜革命诗人殷夫与'左联'（澎湃新闻·左联纪念馆馆员俞宽宏）","https://www.thepaper.cn/newsDetail_forward_8577717","HTTP 200（2026-08-21 WebFetch两次核验，引文逐字命中）","SRC-EVP3-013","FE-EVP3-0020","1931-01-16文委设在静安寺路洛阳书店的秘密机关召开全体党员大会、殷夫出席次日被捕——目前可考唯一有明确日期的1931年左联相关秘密会议，地点与事件表'内山书店'冲突"
"RCPT-EVP3-0013","EVT-00187","3","independent_work","楼适夷 回忆 左联 1931年 内山书店 会议 王锡荣 考证","2026-08-21T17:54:00+08:00","WebSearch(域名限定:dangshi.people.cn等)；WebFetch直连失败","inaccessible","'左联五烈士'殷夫：我是革命的忠臣（人民网党史频道）","http://dangshi.people.com.cn/n1/2022/0120/c436975-32335571.html","HTTPS证书不匹配（CDN），程序化抓取失败；内容经搜索摘要核阅并与澎湃版互证","","","同载洛阳书店1931-01-16会议，作'左联全体共产党员大会'，与澎湃版'文委…全体共产党员大会'措辞有差异（已在FE-EVP3-0020注记标明）"
"RCPT-EVP3-0014","EVT-00188","1","direct","1931年 左联 虹口 会议 北四川路","2026-08-21T17:58:00+08:00","WebSearch(全网)","irrelevant","鲁迅、咖啡馆与左联的诞生（澎湃新闻）","https://www.thepaper.cn/newsDetail_forward_12157997","搜索结果命中（未开正文）","","","仅成立大会（1930）、公啡咖啡馆筹备会（1929-30）、1931-01-17东方旅社事件与当夜虹口提篮桥杨树浦大搜查；无同名会议"
"RCPT-EVP3-0015","EVT-00188","2","institution","丁玲 回忆 第一次参加左联会议 1931年 鲁迅先生于我","2026-08-21T18:06:00+08:00","WebSearch(域名限定:shhk.gov.cn,shhuawen.com,whb.cn)+WebFetch直连核验","support","悦读北外滩｜丁玲与鲁迅（上海市虹口区人民政府门户网站）","https://www.shhk.gov.cn/xwzx/002008/002008040/20241028/9ee35ba7-1ef6-4c42-9d1f-c61713b8828c.html","HTTP 200（2026-08-21 WebFetch两次核验，首句逐字命中）","SRC-EVP3-012","FE-EVP3-0019","首句'１９３１年５月间，在北四川路的一所小学里，丁玲第一次参加了左联会议，见到鲁迅。'逐字命中；页面未用'秘密'一词，支持边界见证据注记"
"RCPT-EVP3-0016","EVT-00188","3","independent_work","丁玲年谱 或 丁玲传 1931年5月 左联 会议 记载","2026-08-21T17:58:00+08:00","WebSearch(全网)","irrelevant","《丁玲传》第26章《牺牲》（紫网书库电子版）","https://zi5.net/library/chapter/179217/26.html","搜索结果命中（未开正文）","","","传记载丁玲1931-07-30前'只在当年5月左联召开的一次会议上远远地见过鲁迅'——与区政府文同属丁玲回忆源族不构成独立双源，且站点为非权威电子书库不立证；李向东、王增如《丁玲年谱长编》（天津人民出版社2006）纸本无在线全文"
"RCPT-EVP3-0017","EVT-00065","1","direct","1931年 上海 虹口 秘密会议 中共 文化 记载","2026-08-21T17:58:00+08:00","WebSearch(全网)","irrelevant","中共中央机关报《红旗》在上海（政协联线）","https://www.icppcc.cn/newsDetail_1067091","HTTP 200（2026-08-21 抽查WebFetch核验：1931-07东有恒路2048号印刷所被破坏、杨匏安等16人被捕逐字命中）","","","最近记载为1931-07虹口东有恒路2048号中共秘密印刷所被破坏（杨匏安等16人被捕）——印刷机关被抄非会议；东方旅社会议在汉口路非虹口"
"RCPT-EVP3-0018","EVT-00065","2","institution","夏衍《懒寻旧梦录》 1931年 左联 会议 回忆","2026-08-21T18:00:00+08:00","WebSearch(域名限定:shhk.gov.cn,whb.cn,cssn.cn,thepaper.cn)","irrelevant","91年前，他们在上海的咖啡馆……（澎湃新闻）","https://www.thepaper.cn/newsDetail_forward_11528296","搜索结果命中（未开正文）","","","夏衍《懒寻旧梦录》相关回忆仅覆盖1929-10起公啡咖啡馆筹备会（每周一次）与成立大会；无1931年虹口会议"
"RCPT-EVP3-0019","EVT-00065","3","independent_work","《文学导报》1931年 左联 机关刊物 会议 报道 记载","2026-08-21T17:58:00+08:00","WebSearch(域名限定:shhk.gov.cn,whb.cn,cssn.cn,thepaper.cn)","irrelevant","王锡荣：'左联'研究的六个陷阱（社科院近代史所转载）","http://jds.cssn.cn/newzxdt/202101/t20210128_5300159.shtml","搜索结果命中（未开正文）","","","《前哨·文学导报》（1931-04-25至11-15共8期）刊载纪念专号、研究会报告、国际大会报告、执委会决议与秘书处附记；系一手刊物但无'虹口秘密会议'记载"
"RCPT-EVP3-0020","EVT-00212","1","direct","左联大事记 1931年 座谈会 讨论会 上海 记载","2026-08-21T18:00:00+08:00","WebSearch(全网)","irrelevant","'左翼文化'大事记（政协联线）","https://www.icppcc.cn/newsDetail_1064630","HTTP 200（2026-08-21 抽查WebFetch核验：1931年条目为五烈士/木刻讲习班/决议，无座谈会）","","","1931年大事记条目为五烈士就义（2-07）、《文艺新闻》创刊（3月）、木刻讲习班（8-17）、《北斗》创刊（9月）、执委会决议（11-15）；无座谈会"
"RCPT-EVP3-0021","EVT-00212","2","institution","鲁迅日记 1931年 谈会 座谈 会客 记载 左联","2026-08-21T18:04:00+08:00","WebSearch(域名限定:chinawriter.com.cn,cssn.cn,whb.cn,shobserver.com)","irrelevant","侯桂新：鲁迅与左联（中国作家网）","https://www.chinawriter.com.cn/n1/2020/0313/c404064-31629923.html","搜索结果命中（未开正文）","","","鲁迅1931年时序为花园庄避难（1-2月）、增田涉讲课（3月起）、瞿秋白笔谈往来（下半年）；鲁迅较少参加左联工作会议；无座谈会记载"
"RCPT-EVP3-0022","EVT-00212","3","independent_work","《文艺新闻》1931年 刊文 文艺座谈会 报道 上海","2026-08-21T18:00:00+08:00","WebSearch(全网)","irrelevant","论《上海文艺之一瞥》的修改艺术（中国作家网）","https://www.chinawriter.com.cn/n1/2026/0602/c419387-40731954.html","搜索结果命中（未开正文）","","","《文艺新闻》1931年刊文核查：鲁迅演讲记录（7-27/8-03第20、21期连载）、《答文艺新闻社问》（9-28第29期）、美术运动报道与文艺自由论辩文章；无座谈会报道"
"RCPT-EVP3-0023","EVT-00217","1","direct","邹韬奋 《对全国学生贡献的一点意见》 1931年9月 生活周刊","2026-08-21T18:05:00+08:00","WebSearch(全网)（首查'邹韬奋 1931年 演讲 讲演 上海'无本人演讲记载，故按间接线索换词补查）","irrelevant","九一八｜勿忘国耻，吾辈自强！（韬奋纪念馆官网最新动态，2021-09-18，内收《对全国学生贡献的一点意见》全文）","https://www.zoutaofen.com/index/LatestNewsDetail?id=R04328","HTTP 200（2026-08-21 抽查WebFetch核验：全文收录，系建言学生演讲非本人演讲）","","","1931-09-26《生活》周刊第6卷第40期文系建言学生有组织演讲宣传，非本人演讲记录；两轮检索均无邹韬奋1931年在沪演讲记载"
"RCPT-EVP3-0024","EVT-00217","2","institution","韬奋 年谱 1931年 上海 活动 记载","2026-08-21T18:02:00+08:00","WebSearch(域名限定:zoutaofen.com,jiefangdaily.com,whb.cn,shobserver.com)","irrelevant","《生活》周刊（韬奋纪念馆官网报刊数据库）","https://www.zoutaofen.com/resource/show/101.html","搜索结果命中（未开正文；同站resource/show/122.html大事记、living-living/49.html生平简介一并核对）","","","纪念馆1931年记载为刊物转向抗日救亡、销量15.5万份、组织募捐；大事记无1931年演讲条目"
"RCPT-EVP3-0025","EVT-00217","3","independent_work","《邹韬奋年谱长编》 1931年 记载 演讲","2026-08-21T18:02:00+08:00","WebSearch(全网)","no_result","","","","","","邹嘉骊《邹韬奋年谱长编》（上海交通大学出版社2015，1416页）无在线全文可检索；间接线索仅指向其建言学生演讲的刊文，未获年谱1931年本人演讲条目"
"RCPT-EVP3-0026","EVT-00111","1","direct","阳翰笙 复旦大学 演讲 1931年","2026-08-21T18:04:00+08:00","WebSearch(全网)（补查'阳翰笙 光华大学 演讲 左联 党团书记'仍未获可核验URL）","no_result","","","","","","两轮检索均无阳翰笙1931年复旦演讲记载；间接线索为其在光华大学的演讲（非复旦）、1930-03-02成立大会代表党组织讲话、1930-09-17主持鲁迅寿辰纪念会——'复旦大学'疑为对光华大学等场合的误记"
"RCPT-EVP3-0027","EVT-00111","2","institution","阳翰笙 复旦 校史 档案 左联 演讲","2026-08-21T18:02:00+08:00","WebSearch(域名限定:fudan.edu.cn；首次尝试被搜索引擎降级为通用结果，重试后限定成功)","irrelevant","左翼文化运动的蓬勃发展（上海红色文化资源网·复旦大学主办）","https://shhongse.fudan.edu.cn/info/1014/1010.htm","搜索结果命中（未开正文）","","","确认阳翰笙任左联党团书记、文委书记等职务；复旦校史馆、档案信息网（fda.fudan.edu.cn）、红色资源网站内均无复旦演讲记载"
"RCPT-EVP3-0028","EVT-00111","3","independent_work","《阳翰笙年谱》或《阳翰笙文集》附录年表 1931年 左联 活动","2026-08-21T18:02:00+08:00","WebSearch(全网)","no_result","","","","","","潘光武编《阳翰笙研究资料》含《阳翰笙生平年表》（第11页起）但已绝版无在线原文；网络年表1931年条目（《最后一天》发表、九一八后开辟电影阵地）无复旦演讲"
