序号,Entity_ID,Timestamp,Hist_Loc,Current_Loc,Coord_XY,Event
21,ZLH-036,1929-01-01,中华艺术大学,多伦路201弄2号,"121.481, 31.272",一般活动
22,ZLH-012;ZLH-018,1929-01-01,太阳社,闸北区,"121.460, 31.255",文学活动
23,ZLH-001,1929-02-16,内山书店,四川北路2050号,"121.482, 31.251",交往/拜访
24,ZLH-001,1929-06-19,内山完造,四川北路2050号,"121.482, 31.251",通信/联络
25,ZLH-001,1929-07-07,内山书店,四川北路2050号,"121.482, 31.251",交往/拜访
26,ZLH-001;ZLH-016,1929-08-29,北四川路,四川北路,"121.482, 31.260",交往/拜访
27,ZLH-001,1929-09-23,内山完造,四川北路2050号,"121.482, 31.251",通信/联络
28,ZLH-007;ZLH-016;ZLH-036,1930-01-01,上海,上海,"121.473, 31.230",一般活动
29,ZLH-006;ZLH-016;ZLH-012,1930-01-01,上海,上海,"121.473, 31.230",左联成立大会
30,ZLH-037;ZLH-061;ZLH-141,1930-01-01,上海,上海,"121.473, 31.230",文学活动
31,ZLH-036,1930-01-01,中华艺术大学,多伦路201弄2号,"121.481, 31.272",一般活动
32,ZLH-016,1930-01-01,光华书局,四马路（福州路）,"121.484, 31.238",文学活动
33,ZLH-001,1930-01-01,光华书局,四马路（福州路）,"121.484, 31.238",签名/抗议
34,ZLH-009,1930-01-01,内山完造,四川北路2050号,"121.482, 31.251",文学活动
35,ZLH-009,1930-01-01,创造社,闸北宝山路,"121.473, 31.260",文学活动
36,ZLH-001,1930-01-01,十字街头,虹口区,"121.485, 31.265",文学活动
37,ZLH-016,1930-01-01,商务印书馆,河南路宝山路,"121.480, 31.253",文学活动
38,ZLH-001,1930-01-01,商务印书馆,河南路宝山路,"121.480, 31.253",签名/抗议
39,ZLH-012,1930-01-01,太阳社,闸北区,"121.460, 31.255",左联成立大会
40,ZLH-003;ZLH-042,1930-01-01,萌芽月刊,闸北区,"121.460, 31.255",文学活动
41,ZLH-001;ZLH-016,1930-03-28,北四川路,四川北路,"121.482, 31.260",交往/拜访
42,ZLH-001;ZLH-016,1930-03-30,北四川路,四川北路,"121.482, 31.260",交往/拜访
43,ZLH-014;ZLH-021;ZLH-029;ZLH-030;ZLH-032;ZLH-077;ZLH-123,1931-01-01,上海,上海,"121.473, 31.230",一般活动
44,ZLH-024,1931-01-01,上海,上海,"121.473, 31.230",左联成立大会
45,ZLH-001;ZLH-002;ZLH-003;ZLH-006;ZLH-007;ZLH-008;ZLH-014;ZLH-015;ZLH-025;ZLH-054;ZLH-091;ZLH-063;ZLH-122;ZLH-133;ZLH-119;ZLH-123;ZLH-131;ZLH-145;ZLH-143;ZLH-144,1931-01-01,上海,上海,"121.473, 31.230",文学活动
46,ZLH-006;ZLH-021;ZLH-100;ZLH-145;ZLH-128;ZLH-132;ZLH-137,1931-01-01,上海,上海,"121.473, 31.230",社会活动
47,ZLH-002;ZLH-020;ZLH-016;ZLH-017;ZLH-018;ZLH-037;ZLH-019;ZLH-024;ZLH-025;ZLH-031;ZLH-035,1931-01-01,上海,上海,"121.473, 31.230",逮捕/牺牲
48,ZLH-005;ZLH-013;ZLH-015;ZLH-021;ZLH-036;ZLH-037;ZLH-091;ZLH-121,1931-01-01,内山书店,四川北路2050号,"121.482, 31.251",秘密会议
49,ZLH-018;ZLH-019;ZLH-020,1931-01-01,内山书店,四川北路2050号,"121.482, 31.251",逮捕/牺牲
50,ZLH-005;ZLH-013;ZLH-015;ZLH-021;ZLH-036;ZLH-037;ZLH-091;ZLH-121,1931-01-01,内山完造,四川北路2050号,"121.482, 31.251",秘密会议
51,ZLH-018;ZLH-019;ZLH-020,1931-01-01,内山完造,四川北路2050号,"121.482, 31.251",逮捕/牺牲
52,ZLH-018;ZLH-037;ZLH-019,1931-01-01,创造社,闸北宝山路,"121.473, 31.260",逮捕/牺牲
53,ZLH-001;ZLH-020,1931-01-01,前哨,虹口区,"121.485, 31.265",左联成立大会
54,ZLH-005;ZLH-020;ZLH-016;ZLH-018;ZLH-037;ZLH-019,1931-01-01,前哨,虹口区,"121.485, 31.265",逮捕/牺牲
55,ZLH-011;ZLH-019,1931-01-01,复旦大学,邯郸路220号,"121.506, 31.300",左联成立大会
56,ZLH-008;ZLH-019;ZLH-045;ZLH-011;ZLH-013,1931-01-01,复旦大学,邯郸路220号,"121.506, 31.300",文学活动
57,ZLH-013;ZLH-019,1931-01-01,复旦大学,邯郸路220号,"121.506, 31.300",逮捕/牺牲
58,ZLH-005;ZLH-020,1931-01-01,萌芽月刊,闸北区,"121.460, 31.255",逮捕/牺牲
59,ZLH-005;ZLH-013;ZLH-015;ZLH-021;ZLH-036;ZLH-037;ZLH-091;ZLH-121,1931-01-01,虹口,虹口区,"121.485, 31.265",秘密会议
60,ZLH-018;ZLH-019;ZLH-020,1931-01-01,虹口,虹口区,"121.485, 31.265",逮捕/牺牲
61,ZLH-001;ZLH-020,1931-01-01,龙华,龙华烈士陵园,"121.452, 31.182",左联成立大会
62,ZLH-002;ZLH-020;ZLH-024;ZLH-025;ZLH-031;ZLH-035,1931-01-01,龙华,龙华烈士陵园,"121.452, 31.182",逮捕/牺牲
63,ZLH-001;ZLH-020,1931-01-01,龙华淞沪警备,龙华烈士陵园,"121.452, 31.182",左联成立大会
64,ZLH-002;ZLH-020;ZLH-005;ZLH-024;ZLH-025;ZLH-031;ZLH-035,1931-01-01,龙华淞沪警备,龙华烈士陵园,"121.452, 31.182",逮捕/牺牲
65,ZLH-001,1931-08-21,内山完造,四川北路2050号,"121.482, 31.251",通信/联络
66,ZLH-014;ZLH-021,1932-01-01,上海,上海,"121.473, 31.230",一般活动
67,ZLH-036,1932-01-01,上海,上海,"121.473, 31.230",会议/集会
68,ZLH-012,1932-01-01,上海,上海,"121.473, 31.230",左联成立大会
69,ZLH-002;ZLH-004;ZLH-006;ZLH-007;ZLH-036;ZLH-042;ZLH-010;ZLH-014;ZLH-015;ZLH-021;ZLH-025;ZLH-026;ZLH-031;ZLH-032;ZLH-035;ZLH-037;ZLH-045;ZLH-054;ZLH-100;ZLH-059;ZLH-067;ZLH-105,1932-01-01,上海,上海,"121.473, 31.230",文学活动
70,ZLH-007;ZLH-021,1932-01-01,上海,上海,"121.473, 31.230",逮捕/牺牲
71,ZLH-002;ZLH-003;ZLH-037;ZLH-004;ZLH-007;ZLH-036;ZLH-042;ZLH-008;ZLH-010;ZLH-015;ZLH-025;ZLH-026;ZLH-031;ZLH-035;ZLH-054;ZLH-100;ZLH-059;ZLH-067;ZLH-105,1932-01-01,光华书局,四马路（福州路）,"121.484, 31.238",文学活动
72,ZLH-042,1932-01-01,内山完造,四川北路2050号,"121.482, 31.251",一般活动
73,ZLH-133;ZLH-150,1932-01-01,内山完造,四川北路2050号,"121.482, 31.251",会议/集会
74,ZLH-058;ZLH-133,1932-01-01,内山完造,四川北路2050号,"121.482, 31.251",文学活动
75,ZLH-003;ZLH-037,1932-01-01,前哨,虹口区,"121.485, 31.265",文学活动
76,ZLH-005,1932-01-01,前哨,虹口区,"121.485, 31.265",逮捕/牺牲
77,ZLH-032,1932-01-01,北新书局,四川北路,"121.482, 31.260",文学活动
78,ZLH-012,1932-01-01,太阳社,闸北区,"121.460, 31.255",左联成立大会
79,ZLH-003;ZLH-037;ZLH-007,1932-01-01,文学月报,虹口区,"121.485, 31.265",文学活动
80,ZLH-004,1932-01-01,明星影片公司,枫林桥徐家汇路,"121.467, 31.210",文学活动
81,ZLH-083;ZLH-141,1933-01-01,上海,上海,"121.473, 31.230",文学活动
82,ZLH-039,1933-01-01,上海,上海,"121.473, 31.230",签名/抗议
83,ZLH-007;ZLH-019;ZLH-026;ZLH-029;ZLH-030,1933-01-01,上海,上海,"121.473, 31.230",逮捕/牺牲
84,ZLH-011;ZLH-037,1933-01-01,明星影片公司,枫林桥徐家汇路,"121.467, 31.210",一般活动
85,ZLH-001;ZLH-003;ZLH-032,1934-01-01,上海,上海,"121.473, 31.230",文学活动
86,ZLH-007;ZLH-015;ZLH-013,1934-01-01,上海,上海,"121.473, 31.230",签名/抗议
87,ZLH-018,1934-01-01,上海,上海,"121.473, 31.230",逮捕/牺牲
88,ZLH-003;ZLH-032;ZLH-016,1934-01-01,光华书局,四马路（福州路）,"121.484, 31.238",文学活动
89,ZLH-132;ZLH-134;ZLH-141,1934-01-01,内山完造,四川北路2050号,"121.482, 31.251",文学活动
90,ZLH-003,1934-01-01,内山完造,四川北路2050号,"121.482, 31.251",逮捕/牺牲
91,ZLH-007,1934-01-01,十字街头,虹口区,"121.485, 31.265",文学活动
92,ZLH-023,1934-01-01,十字街头,虹口区,"121.485, 31.265",签名/抗议
93,ZLH-016,1934-01-01,商务印书馆,河南路宝山路,"121.480, 31.253",文学活动
94,ZLH-018,1934-01-01,商务印书馆,河南路宝山路,"121.480, 31.253",逮捕/牺牲
95,ZLH-003;ZLH-032;ZLH-011;ZLH-018,1934-01-01,现代书局,四马路,"121.484, 31.238",文学活动
96,ZLH-007,1934-01-01,良友图书,北四川路851号,"121.482, 31.255",文学活动
97,ZLH-029;ZLH-030;ZLH-032;ZLH-077;ZLH-123,1935-01-01,上海,上海,"121.473, 31.230",一般活动
98,ZLH-004;ZLH-029;ZLH-005;ZLH-008;ZLH-023;ZLH-116;ZLH-139;ZLH-119;ZLH-123,1935-01-01,上海,上海,"121.473, 31.230",文学活动
99,ZLH-133;ZLH-142,1935-01-01,上海,上海,"121.473, 31.230",签名/抗议
100,ZLH-116;ZLH-139,1935-01-01,生活书店,福州路,"121.484, 31.238",文学活动
101,ZLH-002,1935-01-01,良友图书,北四川路851号,"121.482, 31.255",文学活动
102,ZLH-133;ZLH-142,1935-01-01,良友图书,北四川路851号,"121.482, 31.255",签名/抗议
103,ZLH-050,1936-01-01,上海,上海,"121.473, 31.230",会议/集会
104,ZLH-004;ZLH-016;ZLH-047;ZLH-025;ZLH-037;ZLH-133;ZLH-136,1936-01-01,上海,上海,"121.473, 31.230",文学活动
105,ZLH-038,1936-01-01,上海,上海,"121.473, 31.230",社会活动
106,ZLH-004;ZLH-010,1936-01-01,上海,上海,"121.473, 31.230",签名/抗议
107,ZLH-016;ZLH-047,1936-01-01,上海大学,宝山路,"121.473, 31.260",文学活动
108,ZLH-009,1936-01-01,内山完造,四川北路2050号,"121.482, 31.251",文学活动
109,ZLH-016;ZLH-047,1936-01-01,创造社,闸北宝山路,"121.473, 31.260",文学活动
110,ZLH-038,1936-01-01,南京路,南京东路,"121.483, 31.240",社会活动
111,ZLH-010,1936-01-01,复旦大学,邯郸路220号,"121.506, 31.300",签名/抗议
112,ZLH-004,1936-01-01,生活书店,福州路,"121.484, 31.238",文学活动
113,ZLH-003;ZLH-007,1936-01-01,良友图书,北四川路851号,"121.482, 31.255",文学活动
114,ZLH-012;ZLH-043;ZLH-063;ZLH-091;ZLH-077;ZLH-144;ZLH-123,1937-01-01,上海,上海,"121.473, 31.230",一般活动
115,ZLH-048,1937-01-01,上海,上海,"121.473, 31.230",交往/拜访
116,ZLH-001;ZLH-009;ZLH-024;ZLH-116;ZLH-144,1937-01-01,上海,上海,"121.473, 31.230",文学活动
117,ZLH-022;ZLH-027;ZLH-028;ZLH-029;ZLH-031;ZLH-032;ZLH-039;ZLH-042;ZLH-043;ZLH-048;ZLH-053;ZLH-055;ZLH-059;ZLH-081;ZLH-083;ZLH-106;ZLH-119;ZLH-122,1937-01-01,上海,上海,"121.473, 31.230",签名/抗议
118,ZLH-077;ZLH-144;ZLH-123,1937-01-01,生活书店,福州路,"121.484, 31.238",一般活动
119,ZLH-009;ZLH-024;ZLH-116;ZLH-144,1937-01-01,生活书店,福州路,"121.484, 31.238",文学活动
120,ZLH-032,1937-01-01,生活书店,福州路,"121.484, 31.238",签名/抗议
121,ZLH-047,1938-01-01,上海,上海,"121.473, 31.230",文学活动
122,ZLH-047,1938-01-01,商务印书馆,河南路宝山路,"121.480, 31.253",文学活动
123,ZLH-067;ZLH-080,1940-01-01,上海,上海,"121.473, 31.230",文学活动
124,ZLH-067;ZLH-080,1940-01-01,文学月报,虹口区,"121.485, 31.265",文学活动
