Id,Label,Alias,Reliability,Birth_Death,Role
ZLH-025,沙汀,杨朝熙、朝熙,5,1904-1992,骨干成员
ZLH-026,胡风,张光人、谷非、胡、风,5,1902-1985,骨干成员
ZLH-027,萧军,刘鸿霖、三郎,5,1907-1988,骨干成员
ZLH-028,萧红,张迺莹、悄吟,5,1911-1942,骨干成员
ZLH-029,聂绀弩,绀弩、耳耶、聂、耳,5,1903-1986,骨干成员
ZLH-030,吴奚如,吴席儒、奚如,5,1906-1985,骨干成员
ZLH-031,葛琴,葛爱琴、爱琴,5,1907-1984,骨干成员
ZLH-032,徐懋庸,徐茂荣、懋庸、徐、茂荣,5,1911-1977,骨干成员
ZLH-033,周文,第一修,5,1907-1952,骨干成员
ZLH-034,彭康,彭坚、坚,5,1901-1968,骨干成员
ZLH-035,李辉英,李公白、辉英、公白,5,1911-1991,骨干成员
ZLH-036,穆木天,穆敬熙、木天、敬熙,5,1900-1971,骨干成员
ZLH-037,楼适夷,楼锡春、适夷、锡春,5,1905-2001,骨干成员
ZLH-038,陈荒煤,陈光亮、荒煤、光亮,5,1913-1996,骨干成员
ZLH-039,欧阳山,杨凤岐、凤岐,5,1908-2000,骨干成员
ZLH-040,草明,郑晓光、晓光,5,1913-2002,骨干成员
ZLH-041,骆宾基,张璞君、璞君,5,1917-1994,骨干成员
ZLH-042,魏金枝,魏金志、金志,5,1900-1972,骨干成员
ZLH-043,端木蕻良,曹京平、曹汉文、端木、蕻良,5,1912-1996,骨干成员
ZLH-044,蒋锡金,蒋锡珍、锡金、锡珍,5,1915-2003,骨干成员
ZLH-045,周立波,周绍仪、立波,5,1908-1979,骨干成员
ZLH-046,邵荃麟,邵全麟、荃麟、全麟,5,1906-1971,骨干成员
ZLH-047,林淡秋,林秉钧、淡秋、秉钧,5,1906-1981,骨干成员
ZLH-048,王任叔,巴人、任叔,5,1901-1972,骨干成员
ZLH-049,舒群,许春元、舒、群、春元,5,1913-1989,骨干成员
ZLH-050,于黑丁,于黑庭、黑庭,5,1907-1988,骨干成员
ZLH-051,邱东平,邱东萍、东萍,5,1910-1941,骨干成员
ZLH-052,梅志,屠稚眉、梅、志、稚眉,5,1914-2004,骨干成员
ZLH-053,黄源,黄河清、河清,5,1905-2003,骨干成员
ZLH-054,许幸之,许兴之、幸之、兴之,5,1904-1991,骨干成员
ZLH-055,郑君里,郑君礼、君里、君礼,5,1911-1969,骨干成员
ZLH-056,白杨,杨成芳、成芳,5,1920-1996,骨干成员
ZLH-057,赵丹,赵凤翱、凤翱,5,1915-1980,骨干成员
ZLH-058,郭沫若,郭开贞、独武、沫若、开贞,5,1892-1978,骨干成员
ZLH-059,白薇,黄彰、黄,5,1894-1987,骨干成员
ZLH-060,鲁彦,王鲁彦、王衡,5,1901-1944,骨干成员
ZLH-061,朱镜我,朱德源、金修,5,1901-1939,普通成员
ZLH-062,李一芒,李太白,5,1903-1990,普通成员
ZLH-063,任白戈,任全、任以鲁,5,1906-1986,普通成员
ZLH-064,杜埃,杜秉正,5,1914-2004,普通成员
ZLH-065,柯仲平,柯维翰,5,1902-1964,普通成员
ZLH-066,黄其奎,黄日葵,5,1911-1942,普通成员
ZLH-067,任钧,任君、任均,5,1909-2003,普通成员
ZLH-068,温梓川,温志、梓川,5,1911-1973,普通成员
ZLH-069,张庚,张三庚,5,1911-2003,普通成员
ZLH-070,塞克,陈凝秋,5,1906-1988,普通成员
ZLH-071,李霁野,霁野,5,1904-1997,普通成员
ZLH-072,丛深,丛深,5,1920-1980,普通成员
ZLH-073,王余杞,王余,5,1907-1997,普通成员
ZLH-074,严文井,严文锦,5,1915-2005,普通成员
ZLH-075,黄肃秋,黄秋秋,5,1912-1989,普通成员
ZLH-076,马宁,马云,5,1909-2001,普通成员
ZLH-077,柳倩,柳自强,5,1911-2004,普通成员
ZLH-078,王一知,王一知,5,1901-1991,普通成员
ZLH-079,谢和赓,谢和,5,1912-2005,普通成员
ZLH-080,陈企霞,陈企,5,1913-1988,普通成员
ZLH-081,陈白尘,陈炳泉,5,1908-1994,普通成员
ZLH-082,宋之的,宋之的,5,1914-1956,普通成员
ZLH-083,林焕平,林焕,5,1911-2000,普通成员
ZLH-084,陆万美,陆万美,5,1908-1991,普通成员
ZLH-085,方殷,方殷,5,1914-2005,普通成员
ZLH-086,葛一虹,葛一虹,5,1913-2005,普通成员
ZLH-087,于伶,任郁伶,5,1907-1997,普通成员
ZLH-088,徐芳,徐芳,4,1912-2008,普通成员
ZLH-089,唐弢,唐弢,5,1913-1992,普通成员
ZLH-090,吴晓邦,吴晓邦,5,1906-1995,普通成员
ZLH-091,叶以群,叶以群,5,1911-1966,普通成员
ZLH-092,蒋天佐,蒋天佐,5,1913-1987,普通成员
ZLH-093,王亚平,王亚平,5,1905-1983,普通成员
ZLH-094,吴亮平,吴亮,5,1908-1986,普通成员
ZLH-095,何稼夫,何稼,5,1908-1941,普通成员
ZLH-096,王统照,剑三,4,1897-1957,普通成员
ZLH-097,王西彦,王西,5,1914-1999,普通成员
ZLH-098,沈从文,上官碧,4,1902-1988,相关人士
ZLH-099,吴奔星,吴奔,5,1913-2004,普通成员
ZLH-100,姚蓬子,蓬子,5,1906-1969,普通成员
ZLH-101,徐迟,徐迟,5,1914-1996,普通成员
ZLH-102,张映纶,张映,5,1911-1941,普通成员
ZLH-103,王莹,喻志华,5,1913-1974,普通成员
ZLH-104,叶灵凤,灵凤,5,1905-1975,相关人士
ZLH-105,沈起予,起予,5,1904-1993,普通成员
ZLH-106,张光年,光未然,5,1913-2002,普通成员
ZLH-107,孙师毅,师毅,5,1904-1966,普通成员
ZLH-108,陈鲤庭,鲤庭,5,1910-2013,普通成员
ZLH-109,王林,王林,5,1915-1984,普通成员
ZLH-110,章泯,章泯,5,1906-1975,普通成员
ZLH-111,朱静子,静子,5,1908-1934,普通成员
ZLH-112,戴望舒,戴望舒,4,1905-1950,相关人士
ZLH-113,施蛰存,施蛰,4,1905-2003,相关人士
ZLH-114,刘呐鸥,呐鸥,4,1905-1940,相关人士
ZLH-115,穆时英,时英,4,1912-1940,相关人士
ZLH-116,孙席珍,席珍,5,1905-1984,普通成员
ZLH-117,陈波儿,波儿,5,1907-1951,普通成员
ZLH-118,吴组缃,组缃,5,1908-1994,普通成员
ZLH-119,何家槐,家槐,5,1911-1967,普通成员
ZLH-120,夏征农,征农,5,1904-2008,普通成员
ZLH-121,内山完造,邬其山,5,1885-1959,外围联络人
ZLH-122,许广平,景宋,5,1898-1968,外围联络人
ZLH-123,邹韬奋,邹恩润,5,1896-1944,外围联络人
ZLH-124,李小峰,李致广,5,1897-1971,外围联络人
ZLH-125,陆志庠,陆志祥,5,1910-1992,外围联络人
ZLH-126,沈兼士,兼士,4,1887-1947,外围联络人
ZLH-127,曹靖华,曹联亚,5,1897-1987,外围联络人
ZLH-128,林语堂,语堂,4,1895-1976,外围联络人
ZLH-129,胡愈之,愈之,5,1896-1986,外围联络人
ZLH-130,杨杏佛,杏佛,5,1893-1933,外围联络人
ZLH-131,艾格尼丝·史沫特莱,Smedley,5,1892-1950,外围联络人
ZLH-132,哈罗德·伊罗生,Isaacs,5,1910-1986,外围联络人
ZLH-133,埃德加·斯诺,Snow,5,1905-1972,外围联络人
ZLH-134,鹿地亘,Wataru,5,1903-1982,外围联络人
ZLH-135,池田幸子,幸子,5,1900-1976,外围联络人
ZLH-136,宋庆龄,苏菲,5,1893-1981,相关人士
ZLH-137,蔡元培,孑民,5,1868-1940,相关人士
ZLH-138,何香凝,香凝,5,1878-1972,相关人士
ZLH-139,陈望道,望道,5,1891-1977,相关人士
ZLH-140,鲁维查,Rouwicha,5,1890-?,相关人士
ZLH-141,高尔基,Gorky,5,1868-1936,相关人士
ZLH-142,法捷耶夫,Fadeyev,5,1901-1956,相关人士
ZLH-143,罗曼·罗兰,Rolland,5,1866-1944,相关人士
ZLH-144,巴比塞,Barbusse,5,1873-1935,相关人士
ZLH-145,萧伯纳,Shaw,5,1856-1950,相关人士
ZLH-146,马尔罗,Malraux,5,1901-1976,相关人士
ZLH-147,辛克莱,Sinclair,5,1878-1968,相关人士
ZLH-148,片山潜,Katayama,5,1859-1933,相关人士
ZLH-149,路易·艾黎,Alley,5,1897-1987,相关人士
ZLH-150,萧三,萧植蕃、艾三,5,1896-1983,相关人士
